ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
1,,213291,,,,Eugenia,richardiana,,,,,,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,1,29737,97464,,,,1.0,52183.0,Louis C. M. Richard,L. C. Richard,Louis,Claude Marie,Richard,Person,Botany Master,ASA Botanist ID 100780,,"L. C. M. Richard
C. Richard",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/1992/426/V0511195F.jpg,4029996,V0511195F,1500954.0,,Euphorbia,mesembryanthemifolia,,,,2055,1958-07-16,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,2,553018,89707,,,,2.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1888/769/V0509193F.jpg,4013536,V0509193F,1260701.0,,Euphorbia,cowellii,,,,1426,1938-05-01,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,3,686790,89707,,,,3.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/1796/778/C0663341F.jpg,3943744,C0663341F,910475.0,,Adiantum,villosum,,,,205,1931-08-,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,4,210800,102066,,,,4.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/1890/832/V0509763F.jpg,4028930,V0509763F,1262099.0,,Euphorbia,hypericifolia,,,,839,1937-06-10,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,5,30730,89707,,,,5.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/1898/315/V0511304F.jpg,4034900,V0511304F,1263197.0,,Euphorbia,oerstediana,,,,1092,1937-09-20,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,6,30800,89707,,,,6.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1898/329/V0511317F.jpg,4034919,V0511317F,1260677.0,,Euphorbia,ophthalmica,,,,1332,1938-01-02,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,7,418194,89707,,,,7.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/1898/581/V0511615F.jpg,4035328,V0511615F,195709.0,,Euphorbia,,,,,20,1907-01-16,1907-01-17,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,8,89707,89741,,,,8.0,41180.0,John A. Shafer,J. A. Shafer,John,Adolph,Shafer,Person,Botany Master,ASA Botanist ID 101219 | 149307,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1899/210/V0511875F.jpg,4036797,V0511875F,1260705.0,,Hippomane,mancinella,,,,1436,1938-05-09,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,9,37184,37183,,,,9.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/1875/012/V0508430F.jpg,4010555,V0508430F,1548362.0,,Tillandsia,usneoides,,,,1237,1937-10-31,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,10,78367,86129,,,,10.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
