ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/2118/419/V0497312F.jpg,4013612,V0497312F,198560,,Drypetes,lateriflora,,,,5759,1907-02-27,1907-02-28,,930,,,,,,Bahamas,,,24.409989,24  24 35.96 N,-75.519226,75 31 09.21 W,950,1.0,377184.0,26379.0,,,,1.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),2.0,21220.0,Charles F. Millspaugh,C. F. Millspaugh,Charles,Frederick,Millspaugh,Person,FMNH Master,"ASA Botanist ID 100827
http://viaf.org/viaf/46877200
https://www.wikidata.org/wiki/Q2585363
https://www.jstor.org/stable/2469990?seq=1#metadata_info_tab_contents
https://plants.jstor.org/stable/10.5555/al.ap.person.bm000005692
http://www.worldcat.org/identities/lccn-n84077657/
https://en.wikipedia.org/wiki/Charles_Frederick_Millspaugh",,,"Collector (Botany)
Collector (Insects)",,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/222/464/V0069037F.jpg,345815,V0069037F,1784095,,Erithalis,diffusa,,,,43840,1974-11-21,,,939,,,,,,Bahamas,,,24.0,24  00 00 N,-74.5333,74 32 00 W,950,2.0,112841.0,284184.0,,,,3.0,24724.0,Donovan S. Correll,D. S. Correll,Donovan,Stewart,Correll,Person,Botany Master,ASA Botanist ID 101873,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/53/024/V0052461F.jpg,254819,V0052461F,171563,,Heliotropium,diffusum,,,,1221,1904-10-20,,,952,,,,,,Bahamas,,,,,,,950,3.0,36190.0,85994.0,,,,4.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),5.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/221/614/V0068148F.jpg,354602,V0068148F,130621,,Reynosia,northropiana,,,,510,1890-04-23,,,953,,,,,,Bahamas,,,24.453336,24  27 12.01 N,-77.95,77 57  W,950,4.0,114682.0,286079.0,,,,6.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,7.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/56/452/V0060136F.jpg,276469,V0060136F,130529,,Casearia,bahamensis,,,,384,1890-04-,,,953,,,,,,Bahamas,,,24.453336,24  27 12.01 N,-77.95,77 57  W,950,5.0,14637.0,90695.0,6.0,14711.0,90695.0,8.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,9.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/58/542/V0062322F.jpg,314139,V0062322F,130653,,Phoradendron,northropiae,,,,551,1890,,,383092,,,,,Conch Sound,Bahamas,,,,,,,950,7.0,58704.0,95660.0,,,,10.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,11.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/58/541/V0062321F.jpg,264187,V0062321F,130652,,Phoradendron,northropiae,,,,551,1890,,,383091,,,,,Lisbon Creek,Bahamas,,,,,,,950,8.0,58704.0,95660.0,,,,12.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,13.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/222/054/V0068619F.jpg,276970,V0068619F,130711,,Catesbaea,fasciculata,,,,627,1890-06-06,,,343895,,,,,Fresh Creek,Bahamas,,,,,,,950,9.0,15356.0,283498.0,,,,14.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,15.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/56/624/V0060311F.jpg,273739,V0060311F,130534,,Xylosma,ilicifolia,,,,388,1890-06-10,,,343895,,,,,Fresh Creek,Bahamas,,,,,,,950,10.0,82911.0,90701.0,11.0,207610.0,90701.0,16.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,17.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/45/360/V0046481F.jpg,261728,V0046481F,130725,,Oncidium,lucayanum,,,,647,1890-06-10,,,343895,,,,,Fresh Creek,Bahamas,,,,,,,950,12.0,53264.0,53222.0,,,,18.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,19.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/56/625/V0060312F.jpg,331484,V0060312F,130533,,Xylosma,ilicifolia,,,,388,1890-04-09,,,383090,,,,,Nicols Town,Bahamas,,,,,,,950,13.0,82911.0,90701.0,14.0,207610.0,90701.0,20.0,46169.0,John I. Northrop,J. I. Northrop,John,Isaiah,Northrop,Person,Botany Master,,,J. I. Northrop,,21.0,14079.0,Alice B. Rich Northrop,A. R. Northrop,Alice,Belle,Rich Northrop,Person,Botany Master,,,"A. Northrop
Alice Belle Northrop
A. B. Rich  [maiden name]",,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/140/475/V0058988F.jpg,329845,V0058988F,1985089,,Ateleia,popenoei,,,,51420,1980-10-03,,,4031,,,,,,Bahamas,Exuma,,23.6667,23  40 00 N,-76.0,76 00 00 W,949,15.0,7565.0,89957.0,,,,22.0,24724.0,Donovan S. Correll,D. S. Correll,Donovan,Stewart,Correll,Person,Botany Master,ASA Botanist ID 101873,,,Collector (Botany),23.0,45776.0,John Popenoe,J. Popenoe,John,,Popenoe,Person,Botany Master,ASA Botanist ID 127739,,,Collector (Botany),,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/53/161/V0052601F.jpg,272884,V0052601F,185971,,Varronia,lucayana,,,,1175,1904-10-19,,,952,,,,,,Bahamas,,,,,,,950,16.0,80691.0,286833.0,,,,24.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),25.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/53/367/V0052808F.jpg,275421,V0052808F,171548,,Bursera,inaguensis,,,,1190,1904-10-15,,,952,,,,,,Bahamas,,,,,,,950,17.0,12046.0,86228.0,,,,26.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),27.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/63/020/V0057414F.jpg,275621,V0057414F,171468,,Caesalpinia,reticulata,,,,1012,1904-10-18,,,952,,,,,,Bahamas,,,,,,,950,18.0,12495.0,90004.0,,,,28.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),29.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/47/159/V0048323F.jpg,265524,V0048323F,171434,,Plumeria,inaguensis,,,,960,1904-10-12,,,952,,,,,,Bahamas,,,,,,,950,19.0,62020.0,62007.0,,,,30.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),31.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/129/581/V0066079F.jpg,272121,V0066079F,171641,,Torrubia,bracei,,,,168,1904-08-23,,,937,,,,,,Bahamas,,,25.05,25  03 00 N,-77.4167,77 25 00 W,950,20.0,78595.0,78593.0,,,,32.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),33.0,51658.0,Lewis J. K. Brace,L. J. K. Brace,Lewis,Jones Knight,Brace,Person,Botany Master,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/406/089/V0093367F.jpg,271915,V0093367F,185945,,Badiera,oblongata,,,,578,1904-09-06,,,397777,,,,,N slope of Blue HIlls,Bahamas,,,,,,,950,21.0,8561.0,101032.0,,,,34.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),35.0,51658.0,Lewis J. K. Brace,L. J. K. Brace,Lewis,Jones Knight,Brace,Person,Botany Master,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/129/771/V0066274F.jpg,252987,V0066274F,131497,,Forestiera,segregata,,stenocarpa,Variety,4088,1888-02-18,,,36396,,,,,,Bahamas,,,25.0833,25  05 00 N,-77.3167,77 19 00 W,950,22.0,32004.0,413731.0,,,,36.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/140/774/V0059291F.jpg,253155,V0059291F,175500,,Galactia,bahamensis,,,,s.n.,1890-11-,,,942,,,,,,Bahamas,,,24.0,24  00 00 N,-74.5333,74 32 00 W,950,23.0,32380.0,90191.0,,,,37.0,13300.0,Albert S. Hitchcock,A. S. Hitchcock,Albert,Spear,Hitchcock,Person,Botany Master,ASA Botanist ID 100744,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
21,http://fm-digital-assets.fieldmuseum.org/47/784/V0048986F.jpg,259662,V0048986F,236073,,Metastelma,inaguense,,,,913,1904-10-11,,,952,,,,,,Bahamas,,,,,,,950,24.0,47820.0,84652.0,,,,38.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),39.0,612.0,Norman Taylor,N. Taylor,Norman,,Taylor,Person,Botany Master,ASA Botanist ID 124327,,,,,,,,,,,,,,,,
22,http://fm-digital-assets.fieldmuseum.org/320/942/V0093114F.jpg|http://fm-digital-assets.fieldmuseum.org/320/973/V0093114F_a.jpg,330728,V0093114F,171854,,Chiococca,pinetorum,,,,430,1904-09-01,,,383144,,,,,"Harold Road, pinelands",Bahamas,,,,,,,950,25.0,112023.0,17339.0,,,,40.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),41.0,51658.0,Lewis J. K. Brace,L. J. K. Brace,Lewis,Jones Knight,Brace,Person,Botany Master,,,,,,,,,,,,,,,,,
23,,272869,,,,Vanilla,correllii,,,,45441,1975-05-25,,,331906,,,,,Great Bahama,Bahamas,Great Bahama,,,,,,950,26.0,80660.0,80659.0,,,,42.0,24724.0,Donovan S. Correll,D. S. Correll,Donovan,Stewart,Correll,Person,Botany Master,ASA Botanist ID 101873,,,Collector (Botany),43.0,45776.0,John Popenoe,J. Popenoe,John,,Popenoe,Person,Botany Master,ASA Botanist ID 127739,,,Collector (Botany),,,,,,,,,,,,,
24,,165547,,171658,,Erythroxylum,confusum,,,,185,,,,227440,,,,,"Farringdon Road, coppice",Bahamas,,,,,,,950,27.0,117001.0,89651.0,,,,44.0,59546.0,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),45.0,51658.0,Lewis J. K. Brace,L. J. K. Brace,Lewis,Jones Knight,Brace,Person,Botany Master,,,,,,,,,,,,,,,,,
25,,171105,,,,Erythroxylum,rotundifolium,,,,444,,,,549462,,,,,Abraham Bay,Bahamas,,,22.357621,22  21 27.44 N,-72.987453,72 59 14.83 W,950,28.0,28725.0,89651.0,,,,46.0,105723.0,R. Byrne,R. Byrne,R.,,Byrne,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,165598,,,,Erythroxylum,confusum,,,,11986,,,,227434,,,,,Coppice along Wulff Road,Bahamas,,,,,,,950,29.0,117001.0,89651.0,,,,47.0,77105.0,William T. Gillis,W. T. Gillis,William,Thomas,Gillis,Person,Botany Master,ASA Botanist ID 133229,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
