ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/234/850/V0092523F.jpg,1628669,V0092523F,86882,,Dendropemon,caribaeus,,wabyanus,Variety,7114,1890-01-21,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,1,410992,413555,1.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/61/200/V0065049F.jpg,334654,V0065049F,970503,,Eugenia,orbicularis,,,,,,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,2,117788,97464,2.0,52183.0,Louis C. M. Richard,L. C. Richard,Louis,Claude Marie,Richard,Person,Botany Master,ASA Botanist ID 100780,,"L. C. M. Richard
C. Richard",Collector (Botany),,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1746/780/C0662867F.jpg,3871810,C0662867F,142600,,Asplenium,barbadense,,,,7235,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,3,682120,84708,3.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/1824/963/C0669503F.jpg,3961407,C0669503F,142607,,Microgramma,lycopodioides,,,,7330,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,4,48634,48629,4.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/1840/602/C0663413F.jpg,3978220,C0663413F,142599,,Adiantum,latifolium,,,,7190,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,5,2594,102066,5.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/1841/151/C0672317F.jpg,3978682,C0672317F,142605,,Tectaria,heracleifolia,,,,7316,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,6,77022,89246,6.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1841/152/C0672318F.jpg,3978683,C0672318F,222036,,Tectaria,heracleifolia,,,,342,1906-10-17,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,7,77022,89246,7.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/1841/283/C0557274F.jpg,3978814,C0557274F,568871,,Polypodium,polypodioides,,,,s.n.,1924-02-19,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,8,62742,101053,8.0,34370.0,Gerrit S. Miller,G. S. Miller,Gerrit,Smith,Miller,Person,Botany Master,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1841/300/C0557320F.jpg,3978831,C0557320F,200804,,Acrostichum,aureum,,,,186,1900,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,9,2268,102065,9.0,46327.0,John R. Bovell,J. R. Bovell,John,Redman,Bovell,Person,Botany Master,ASA Botanist ID 125355,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/1842/111/C0669729F.jpg,3979498,C0669729F,142606,,Paltonium,lanceolatum,,,,7327,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,10,379923,412810,10.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/1842/112/C0669730F.jpg,3979499,C0669730F,200813,,Paltonium,lanceolatum,,,,244,1905-09-13,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,11,379923,412810,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/1842/494/C0663496F.jpg,3979861,C0663496F,142604,,Adiantum,tetraphyllum,,,,7286,,,s.d.,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,12,2618,102066,11.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/1842/512/C0663658F.jpg,3979879,C0663658F,200888,,Adiantum,tetraphyllum,,,,589,1905-10-28,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,13,2618,102066,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/1842/805/C0668062F.jpg,3980148,C0668062F,142598,,Pityrogramma,calomelanos,,,,7124,1890,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,14,61454,383202,12.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/1842/946/C0675103F.jpg,3980271,C0675103F,200811,,Pityrogramma,calomelanos,,,,242,1904-09-19,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,15,61454,383202,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/1848/139/C0362859F.jpg,3984158,C0362859F,222039,,Thelypteris,,,,,446,1906-10-17,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,16,107298,107300,13.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/1989/672/C0359180F.jpg,4119118,C0359180F,222044,,Blechnum,occidentale,,,,615,1907-02-01,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,17,10399,85307,14.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/2129/930/V0484065F.jpg,4184887,V0484065F,200835,,Piper,dilatatum,,,,363,1901-07-13,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,18,60056,100400,,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/2129/931/V0484066F.jpg,4184889,V0484066F,222038,,Piper,dilatatum,,,,421,1906-11-05,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,19,60056,100400,15.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/2125/952/V0484343F.jpg,4198751,V0484343F,222030,,Kalanchoe,pinnata,,,,127,1907-02-01,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,20,40885,284732,16.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
21,http://fm-digital-assets.fieldmuseum.org/2125/963/V0484355F.jpg,4198941,V0484355F,57070,,Alstonia,venenata,,,,127,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,21,698183,282965,17.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
22,http://fm-digital-assets.fieldmuseum.org/2125/966/V0484358F.jpg,4198945,V0484358F,222034,,Allamanda,cathartica,,,,222,1906-08-13,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,22,3449,282948,18.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
23,http://fm-digital-assets.fieldmuseum.org/2126/225/V0484428F.jpg,4199670,V0484428F,200799,,Catharanthus,roseus,,,,,,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,23,15361,283499,,,,,,,,,,,,,,,,,,,,,,,,,,
24,http://fm-digital-assets.fieldmuseum.org/2126/416/V0484577F.jpg,4210987,V0484577F,200867,,Nerium,oleander,,,,506,1903-04-20,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,24,52061,285385,,,,,,,,,,,,,,,,,,,,,,,,,,
25,http://fm-digital-assets.fieldmuseum.org/2190/034/V0485318F.jpg,4310316,V0485318F,2222055,,Metastelma,,,,,630,,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,25,84652,84656,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,3933187,V0456698F,200850,,Peperomia,magnoliifolia,,,,428,1903-03-02,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,26,57160,56868,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,3933281,V0456935F,203988,,Peperomia,pellucida,,,,599,1906-08-20,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,27,57233,56868,19.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
28,http://fm-digital-assets.fieldmuseum.org/1958/330/V0475281F.jpg,3953367,V0475281F,203941,,Acalypha,poiretii,,,,181,1906-07-13,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,28,80016,89675,20.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
29,http://fm-digital-assets.fieldmuseum.org/1966/629/V0476174F.jpg,3957003,V0476174F,57050,,Argythamnia,polygama,,,,79,1875-04-,1875-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,29,682454,89684,,,,,,,,,,,,,,,,,,,,,,,,,,
30,http://fm-digital-assets.fieldmuseum.org/2108/654/V0495796F.jpg,3998844,V0495796F,1500970,,Croton,flavens,,,,2217,1958-08-08,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,30,21653,89693,21.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,
31,http://fm-digital-assets.fieldmuseum.org/2108/656/V0495798F.jpg,3998848,V0495798F,1500967,,Croton,flavens,,,,2207,1958-08-07,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,31,21653,89693,22.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,
32,http://fm-digital-assets.fieldmuseum.org/2108/657/V0495799F.jpg,3998849,V0495799F,1500801,,Croton,flavens,,,,2201,1958-08-07,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,32,21653,89693,23.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,
33,http://fm-digital-assets.fieldmuseum.org/1889/135/V0509561F.jpg,4014602,V0509561F,203925,,Euphorbia,heterophylla,,,,67,1906-07-30,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,33,30717,89707,24.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
34,http://fm-digital-assets.fieldmuseum.org/1890/545/V0509664F.jpg,4020809,V0509664F,200824,,Euphorbia,hirta,,,,283,1901-08-29,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,34,30722,89707,,,,,,,,,,,,,,,,,,,,,,,,,,
35,http://fm-digital-assets.fieldmuseum.org/1890/546/V0509665F.jpg,4020810,V0509665F,203938,,Euphorbia,hirta,,,,167,1906-08-10,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,35,30722,89707,25.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
36,http://fm-digital-assets.fieldmuseum.org/1890/830/V0509761F.jpg,4028927,V0509761F,420315,,Euphorbia,hypericifolia,,,,101,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,36,30730,89707,26.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
37,http://fm-digital-assets.fieldmuseum.org/1890/831/V0509762F.jpg,4028929,V0509762F,203937,,Euphorbia,hypericifolia,,,,166,1906-08-15,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,37,30730,89707,27.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
38,http://fm-digital-assets.fieldmuseum.org/1890/964/V0509982F.jpg,4029373,V0509982F,212002,,Euphorbia,lasiocarpa,,,,231,1904-07-,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,38,30748,89707,,,,,,,,,,,,,,,,,,,,,,,,,,
39,http://fm-digital-assets.fieldmuseum.org/1890/966/V0509983F.jpg,4029374,V0509983F,436604,,Euphorbia,lasiocarpa,,,,103,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,39,30748,89707,28.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
40,http://fm-digital-assets.fieldmuseum.org/1992/432/V0511200F.jpg,4030001,V0511200F,197790,,Euphorbia,mesembryanthemifolia,,,,58,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,40,553018,89707,29.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
41,http://fm-digital-assets.fieldmuseum.org/1992/433/V0511201F.jpg,4030002,V0511201F,57042,,Euphorbia,mesembryanthemifolia,,,,58,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,41,553018,89707,30.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
42,http://fm-digital-assets.fieldmuseum.org/1992/434/V0511202F.jpg,4030003,V0511202F,478087,,Euphorbia,mesembryanthemifolia,,,,5016,1918-01-,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,42,553018,89707,31.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
43,http://fm-digital-assets.fieldmuseum.org/1992/436/V0511203F.jpg,4030004,V0511203F,1500956,,Euphorbia,mesembryanthemifolia,,,,2186,1958-08-06,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,43,553018,89707,32.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,
44,http://fm-digital-assets.fieldmuseum.org/1898/314/V0511303F.jpg,4034899,V0511303F,478088,,Euphorbia,oerstediana,,,,5011,1918-01-,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,44,30800,89707,33.0,76812.0,William G. Freeman,W. G. Freeman,William,George,Freeman,Person,Botany Master,,,W. G. Freeman,,34.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,
45,http://fm-digital-assets.fieldmuseum.org/1898/543/V0511576F.jpg,4035285,V0511576F,420314,,Euphorbia,serpens,,,,94,1895-04-,1895-06-,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,45,30887,89707,35.0,208825.0,John F. Waby,J. F. Waby,John,Fredrick,Waby,Person,Botany Master,ASA Botanist ID 150404,,,,,,,,,,,,,,,,
46,http://fm-digital-assets.fieldmuseum.org/1911/221/V0512877F.jpg,4041235,V0512877F,248516,,Garcia,nutans,,,,509,1902-12-27,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,46,32564,284308,36.0,46327.0,John R. Bovell,J. R. Bovell,John,Redman,Bovell,Person,Botany Master,ASA Botanist ID 125355,,,,,,,,,,,,,,,,
47,http://fm-digital-assets.fieldmuseum.org/1911/297/V0513226F.jpg,4041345,V0513226F,203921,,Jatropha,gossypiifolia,,,,49,1906-07-09,,,17105,,,,,Barbados,Barbados,,,13.1667,13  10 00 N,-59.5333,59 32 00 W,21540,47,40343,89714,37.0,46382.0,John S. Dash,J. S. Dash,John,Sydney,Dash,Person,Botany Master,,,J. S. Dash,,,,,,,,,,,,,,
