ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab,col_5_ColCollectorRef_key,col_5_Collector_irn,col_5_NamFullName,col_5_NamBriefName,col_5_NamFirst,col_5_NamMiddle,col_5_NamLast,col_5_NamPartyType,col_5_NamSource,col_5_NamExternalReferences_tab,col_5_NamOrganisationOtherNames_tab,col_5_NamOtherNames_tab,col_5_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/995/773/VERB_verb_offi_1602055.jpg,3112347,,1602055,,Verbena,officinalis,,,,121,1849-01-,,,2973,,,,,Matanzas,Cuba,Matanzas,,22.6667,22  40 00 N,-81.1667,81 10 00 W,2610,1.0,10.0,109037.0,,,,1.0,29544.0,Ferdinand I. X. Rugel,F. Rugel,Ferdinand,Ignatius Xavier,Rugel,Person,Botany Master,ASA Botanist ID 166511 | 137613,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/170/060/CYCA_micr_calo_931328.jpg,590416,,931328,,Microcycas,calocoma,,,,,1938,,,3110,,,,,Pinar del Río,Cuba,Pinar del Río,,22.5833,22  35 00 N,-83.6667,83 40 00 W,2610,2.0,48607.0,48606.0,,,,2.0,19326.0,Charles J. Chamberlain,C. J. Chamberlain,Charles,Joseph,Chamberlain,Person,Botany Pilot Data,ASA 132274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/167/001/MALP_bani_pauc_170606.jpg,395852,,170606,,Banisteriopsis,pauciflora,,,,189,1904-11-10,,,230818,,,,,La Habana,Cuba,La Habana,,,,,,2610,3.0,287287.0,95844.0,,,,3.0,37834.0,Heman A. van Hermann,H. A. van Hermann,Heman,Adolf,van Hermann,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/221/956/V0068519F.jpg,274759,V0068519F,604763,,Borreria,matanzasia,,,,16497,1923-05-31,,,2973,,,,,Matanzas,Cuba,Matanzas,,22.6667,22  40 00 N,-81.1667,81 10 00 W,2610,4.0,10891.0,10844.0,,,,4.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/55/427/V0054906F.jpg,144386,V0054906F,184645,,Ipomoea,curtisii,,,,562,1904-12-12,,,2670,,,,,near Havana,Cuba,Ciudad de la Habana,,,,,,633338,5.0,39436.0,87721.0,,,,5.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,206363,,165184,,Anacardium,occidentale,,,,271,1904-01-04,1904-05-,,148,,,,,near Nueva Gerona,Cuba,,,,,,,2610,6.0,4181.0,4173.0,,,,6.0,14211.0,Allen H. Curtiss,A. H. Curtiss,Allen,Hiram,Curtiss,Person,Botany Master,ASA Botanist ID 137553,,A. Curtiss,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,250954,,,,Erythroxylum,longipes,,,,2137,1860,1864,,230861,,,,,,Cuba,Oriente,,,,,,3004,7.0,28625.0,89651.0,,,,7.0,21061.0,Charles (Carlos) Wright,C. Wright,Charles (Carlos),,Wright,Person,Botany Master,ASA Botanist ID 150088,,"Ch. Wright
Chas. Wright",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,250725,,,,Erythroxylum,coriaceum,,,,3601,1910-01-18,,,231348,450.0,550.0,1476.0,1804.0,"Rio Guayabo, above the fall",Cuba,Oriente,,,,,,3004,8.0,28521.0,89651.0,,,,8.0,41180.0,John A. Shafer,J. A. Shafer,John,Adolph,Shafer,Person,Botany Master,ASA Botanist ID 101219 | 149307,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,250948,,,,Erythroxylum,lindelieanum,,,,4766,1915-02-25,,,231355,,,,,Sierra de Nipe in charrascales ad Rio Canapu,Cuba,Oriente,,,,,,3004,9.0,28621.0,89651.0,,,,9.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/995/596/URTI_rous_humi_723716.jpg,3110122,,723716,,Rousselia,humilis,,,,6260,1927-08-21,,1927-08-21,2912,,,,,,Cuba,Cienfuegos,Cienfuegos,22.3,22  18 00 N,80.5,80 30 00 E,699332,10.0,67236.0,286163.0,,,,10.0,180274.0,J. G. Jack,J. G. Jack,J.,G.,Jack,Person,Action Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
