ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/1825/546/C0678080F.jpg,3961831,C0678080F,141787.0,,Gleichenia,bifida,,,,30,1880-02-20,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,1.0,33626.0,33624.0,,,,1.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/1796/606/C0668553F.jpg,3943498,C0668553F,1670048.0,,Nephrolepis,brownii,,,,7729,1964-07-21,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,2.0,598833.0,89241.0,,,,2.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1797/417/C0678010F.jpg,3945404,C0678010F,141785.0,,Dicranopteris,pectinata,,,,29,1880-02-29,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,3.0,24705.0,91198.0,,,,3.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/1797/420/C0678014F.jpg,3945407,C0678014F,765592.0,,Dicranopteris,pectinata,,,,116,1933-01-31,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,4.0,24705.0,91198.0,,,,4.0,34040.0,George P. Cooper,G. Proctor Cooper,George,Proctor,Cooper,Person,Botany Master,ASA Botanist ID 142311,,"G. P. Cooper
G. Proctor Cooper III
George Proctor-Cooper",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/1797/321/C0677820F.jpg,3945320,C0677820F,241206.0,,Elaphoglossum,petiolatum,,,,s.n.,1881-11-,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,5.0,27039.0,95615.0,,,,5.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/1797/441/C0678040F.jpg,3945428,C0678040F,141795.0,,Elaphoglossum,,,,,958d,,,s.d.,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,6.0,95615.0,89249.0,,,,6.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1841/050/C0362248F.jpg,3978580,C0362248F,1668715.0,,Thelypteris,decussata,,,,8212,1964-08-03,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,7.0,77636.0,107298.0,,,,7.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/1841/057/C0362255F.jpg,3978588,C0362255F,141790.0,,Dryopteris,decussata,,,,869,1881-11-,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,8.0,609568.0,89237.0,,,,8.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1824/766/C0360947F.jpg,3961281,C0360947F,141794.0,,Hymenodium,crinitum,,,,958c,1881-12-,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,9.0,613149.0,613153.0,,,,9.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/1824/773/C0360952F.jpg,3961286,C0360952F,158615.0,,Hymenodium,crinitum,,,,318,1903,,,587947,,,,,,Dominica,,,15.416667,15  25 00.00 N,-61.333333,61 20 00.00 W,21089,10.0,613149.0,613153.0,,,,10.0,30551.0,Francis E. Lloyd,F. E. Lloyd,Francis,Ernest,Lloyd,Person,Botany Master,ASA Botanist ID 146707,,C. E. Lloyd on Lumholtz Expedition labels,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
