ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
1,,207831,V0441713F,184519.0,,Psidium,guajava,,,,,1905-09-,,,3486,,,,,,Grenada,,,,,,,21091,1.0,63941.0,97494.0,1.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
2,,157613,,,,Erythroxylum,havanense,,,,10858,1950-03-07,1950-03-25,,231844,,,,,,Grenada,,,,,,,21091,2.0,28589.0,89651.0,2.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,
3,,169880,,,,Erythroxylum,havanense,,,,6425,,,,231844,,,,,,Grenada,,,,,,,21091,3.0,28589.0,89651.0,3.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
4,,169888,,,,Erythroxylum,oxycarpum,,,,5642,,,,231844,,,,,,Grenada,,,,,,,21091,4.0,28684.0,89651.0,4.0,24082.0,David W. Alexander,D. W. Alexander,David,W.,Alexander,Person,Botany Master,,,D. W. Alexander,,,,,,,,,,,,,,
5,,169916,,,,Erythroxylum,oxycarpum,,,,526,,,,231844,,,,,,Grenada,,,,,,,21091,5.0,28684.0,89651.0,5.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
6,,169959,,,,Erythroxylum,oxycarpum,,,,s.n.,1779,1781,,231844,,,,,,Grenada,,,,,,,21091,6.0,28684.0,89651.0,6.0,30519.0,Francis Masson,F. Masson,Francis,,Masson,Person,Botany Master,,,F. Masson,,,,,,,,,,,,,,
7,,166924,,,,Erythroxylum,macrophyllum,,,,439,,,,231844,,,,,,Grenada,,,,,,,21091,7.0,89653.0,89651.0,7.0,47302.0,José J. Triana,J. J. Triana,José,Jerónimo,Triana,Person,Botany Master,ASA Botanist ID 101670,,,Collector (Botany),,,,,,,,,,,,,
8,,176425,,190871.0,,Erythroxylum,squamatum,,,,s.n.,,,,231845,,,,,Bon Accord,Grenada,,,,,,,21091,8.0,28740.0,89651.0,8.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
9,,169890,,,,Erythroxylum,oxycarpum,,,,45,,,,231852,,,,,Richmond Hill,Grenada,,,,,,,21091,9.0,28684.0,89651.0,9.0,64837.0,R. D. Anstead,R. D. Anstead,R.,D.,Anstead,Person,Botany Master,,,R. D. Anstead,,,,,,,,,,,,,,
10,,157610,,,,Erythroxylum,havanense,,,,10579,,,Feb 24-Mar 6,231856,,,,,St. Georges to Pointe Saline,Grenada,,,,,,,21091,10.0,28589.0,89651.0,10.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,
