ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/1910/864/V0511849F.jpg,4039223,V0511849F,158675.0,,Hura,crepitans,,,,83,1903-08-04,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,1.0,37688.0,37687.0,,,,1.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/1924/945/V0513365F.jpg,4041766,V0513365F,682269.0,,Pera,bumeliifolia,,,,110,1927-07-28,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,2.0,688553.0,89721.0,,,,2.0,75801.0,Walter J. Eyerdam,W. J. Eyerdam,Walter,Jacob,Eyerdam,Person,Botany Master,"ASA Botanist ID 117892
IPNI urn:lsid:ipni.org:authors:20021897-1",,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1911/348/V0513277F.jpg,4041477,V0513277F,682281.0,,Jatropha,multifida,,,,283,1927-08-06,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,3.0,40371.0,89714.0,,,,3.0,75801.0,Walter J. Eyerdam,W. J. Eyerdam,Walter,Jacob,Eyerdam,Person,Botany Master,"ASA Botanist ID 117892
IPNI urn:lsid:ipni.org:authors:20021897-1",,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/1911/342/V0513271F.jpg,4041470,V0513271F,1468760.0,,Jatropha,multifida,,,,H4478,1925-12-05,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,4.0,40371.0,89714.0,,,,4.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/1911/273/V0513202F.jpg,4041350,V0513202F,158697.0,,Jatropha,gossypiifolia,,,,132,1903-08-04,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,5.0,40343.0,89714.0,,,,5.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/1910/917/V0511917F.jpg,4041263,V0511917F,682270.0,,Hieronyma,domingensis,,,,451,1927-07-16,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,6.0,688206.0,37847.0,,,,6.0,75801.0,Walter J. Eyerdam,W. J. Eyerdam,Walter,Jacob,Eyerdam,Person,Botany Master,"ASA Botanist ID 117892
IPNI urn:lsid:ipni.org:authors:20021897-1",,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1910/915/V0511915F.jpg,4041257,V0511915F,1468767.0,,Hieronyma,domingensis,,,,H6508,1926-07-25,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,7.0,688206.0,37847.0,,,,7.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/166/934/MYRS_para_serr_158799.jpg,590717,,158799.0,,Parathesis,serrulata,,,,435,1903-08-15,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,8.0,208887.0,97458.0,,,,8.0,34081.0,George V. Nash,G. V. Nash,George,Valentine,Nash,Person,Botany Master,ASA Botanist ID 102821,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1995/680/C0383600F.jpg,4124249,C0383600F,804207.0,,Selaginella,stolonifera,,,,H2030,1924-09-28,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,9.0,623113.0,104651.0,,,,9.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/2190/025/V0485310F.jpg,4310308,V0485310F,1469552.0,,Metastelma,stenoglossum,,,,5040,1925-10-09,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,10.0,711703.0,84652.0,,,,10.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/2189/696/V0485143F.jpg,4237450,V0485143F,1474733.0,,Funastrum,clausum,,,,1066,1942-03-22,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,11.0,288566.0,32319.0,,,,11.0,51598.0,Leslie R. Holdridge,L. R. Holdridge,Leslie,Rensselaer,Holdridge,Person,Botany Master,,,L. R. Holdridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/2189/684/V0485138F.jpg,4237445,V0485138F,574229.0,,Funastrum,clausum,,,,9980,1926-02-18,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,12.0,288566.0,32319.0,,,,12.0,27703.0,Emery C. Leonard,E. C. Leonard,Emery,Clarence,Leonard,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/2057/870/V0483241F.jpg,4141455,V0483241F,1468737.0,,Phyllanthus,epiphyllanthus,,,,4190,1925-06-02,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,13.0,691970.0,89723.0,,,,13.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/1842/785/C0668024F.jpg,3980129,C0668024F,804178.0,,Notholaena,trichomanoides,,,,3765,1924-04-12,,,3702,,,,,Haiti,Haiti,,,18.9756,18  58 32 N,-72.4903,72 29 25 W,21540,14.0,617663.0,102072.0,,,,14.0,28153.0,Erik L. Ekman,E. L. Ekman,Erik,Leonard,Ekman,Person,Botany Master,ASA Botanist ID 149789,,E. Ekman,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
