ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,taxon_3_IdeTaxonRef_key,taxon_3_taxon_irn,taxon_3_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab,col_5_ColCollectorRef_key,col_5_Collector_irn,col_5_NamFullName,col_5_NamBriefName,col_5_NamFirst,col_5_NamMiddle,col_5_NamLast,col_5_NamPartyType,col_5_NamSource,col_5_NamExternalReferences_tab,col_5_NamOrganisationOtherNames_tab,col_5_NamOtherNames_tab,col_5_NamRoles_tab
1,,172538,,,,Erythroxylum,suberosum,,,,4501,,,,232782,975.0,,3199.0,,Brasilia,Brazil,Distrito Federal,,,,,,268,1.0,28748.0,89651.0,,,,,,,1.0,63137.0,Peter (Pedro) Jörgensen,P. Jörgensen,Peter (Pedro),,Jörgensen,Person,Botany Master,ASA Botanist ID 117213,,Pedro Jorgensen,Collector (Botany),2.0,65558.0,Raimundo Souza,R. Souza,Raimundo,,Souza,Person,Botany Master,ASA Botanist ID 133433,,,Collector (Botany),3.0,667.0,R. Reis dos Santos,R. Reis dos Santos,R.,,Reis dos Santos,Person,Botany Master,,,R. R. dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/172/052/PAPA_arge_subi_1393973.jpg,590778,,1393973,,Argemone,subinermis,,,,12344,1913,,1913,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,2.0,287194.0,283117.0,,,,,,,4.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/169/148/MYRS_myrs_laet_690711.jpg|http://fm-digital-assets.fieldmuseum.org/1272/910/V0392537F.jpg,590714,V0392537F,690711,,Myrsine,laetevirens,,,,11535,1913,,1913,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,3.0,289729.0,51283.0,,,,,,,5.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/975/438/BOMB_ceib_pubi_683861.jpg,590350,,683861,,Ceiba,pubiflora,,,,11724a,1913,,1913,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,4.0,15815.0,85950.0,,,,,,,6.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/169/774/URTI_boeh_cyli_par_876499.jpg,590937,,876499,,Boehmeria,cylindrica,,,,8973,1905-02-,,,40577,,,,,Caaguazú,Paraguay,Caaguazú,,,,,,4580,5.0,10522.0,10514.0,,,,,,,7.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,http://fm-digital-assets.fieldmuseum.org/168/755/ASCL_oxyp_chod_639303.jpg|http://fm-digital-assets.fieldmuseum.org/1548/162/V0420164F.jpg,590309,V0420164F,639303,,Oxypetalum,chodatianum,,,,9520,1905,,1905,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,6.0,54438.0,285554.0,,,,,,,8.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/644/694/V0180353F.jpg|http://fm-digital-assets.fieldmuseum.org/172/633/MELI_tric_eleg_1546625.jpg,590696,V0180353F,1546625,,Trichilia,elegans,elegans,,,10685,1907,2001,1907,195,,,,,Amambay,Paraguay,Amambay,,-23.0,23  00 00 S,-56.0,56 00 00 W,4580,7.0,79083.0,79082.0,,,,,,,9.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/128/771/V0065259F.jpg,156936,V0065259F,166554,,Eugenia,parodiana,,,,821,,,1888-1890,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,8.0,48884.0,97464.0,,,,,,,10.0,71264.0,Reverend Thomas Morong,T. Morong,Thomas,,Morong,Person,Botany Master,ASA Botanist ID 173296 | 108491,,Rev. T. Morong,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/128/947/V0065438F.jpg,334370,V0065438F,166539,,Myrcia,assumptionis,,,,260,1888,1890,,4580,,,,,Paraguay,Paraguay,,,-23.2025,23  12 09 S,-58.1689,58 10 08 W,22205,9.0,111280.0,97480.0,,,,,,,11.0,71264.0,Reverend Thomas Morong,T. Morong,Thomas,,Morong,Person,Botany Master,ASA Botanist ID 173296 | 108491,,Rev. T. Morong,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/522/380/V0107037F.jpg,2483340,V0107037F,2204750,,Myrcia,laruotteana,,,,30920,1992-03-04,,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,10.0,414011.0,97480.0,,,,,,,12.0,27606.0,Elsa M. Zardini,E. Zardini,Elsa,Matilde,Zardini,Person,Botany Master,ASA Botanist ID 102812,,E. M. Zardini,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/1203/724/V0331405F.jpg,3172445,V0331405F,575014,,Tropaeolum,pentaphyllum,,,,14,1888,1890,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,11.0,414512.0,108628.0,,,,,,,13.0,71264.0,Reverend Thomas Morong,T. Morong,Thomas,,Morong,Person,Botany Master,ASA Botanist ID 173296 | 108491,,Rev. T. Morong,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/624/127/V0143549F.jpg,2829379,V0143549F,1539075,,Eriope,macrostachya,,,,7679,1902-10-,,,4609,,,,,Concepción,Paraguay,Concepción,,-23.0,23  00 00 S,-57.0,57 00 00 W,4580,12.0,413665.0,284181.0,,,,,,,14.0,83280.0,Dr. Emil Hassler,E. Hassler,Emil,,Hassler,Person,Botany Master,ASA Botanist ID 102946 | 107880,,"Émile Hassler
Emilio Hassler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/611/461/V0175897F.jpg|http://fm-digital-assets.fieldmuseum.org/186/444/SOLA_cest_stri_par_2045395.jpg,589389,V0175897F,2045395,,Cestrum,strigilatum,,,,40061,1985-04-06,,1985-04-06,448,,,,,Itapúa,Paraguay,Itapúa,,-26.8333,26  50 00 S,-55.8333,55 50 00 W,4580,13.0,16792.0,16608.0,,,,,,,15.0,15590.0,Antonio Krapovickas,A. Krapovickas,Antonio,,Krapovickas,Person,Botany Master,ASA Botanist ID 106658,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/758/828/V0256490F.jpg,2961777,V0256490F,160411,,Xylosma,venosa,,,,235,1888,1890,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,14.0,291395.0,90701.0,,,,,,,16.0,71264.0,Reverend Thomas Morong,T. Morong,Thomas,,Morong,Person,Botany Master,ASA Botanist ID 173296 | 108491,,Rev. T. Morong,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/758/830/V0256492F.jpg,2961775,V0256492F,2045461,,Xylosma,venosa,,,,19158,1978-12-12,,,195,,,,,Amambay,Paraguay,Amambay,,-23.0,23  00 00 S,-56.0,56 00 00 W,4580,15.0,291395.0,90701.0,,,,,,,17.0,11853.0,Allesandro L. Bernardi,L. Bernardi,Allesandro,Luciano,Bernardi,Person,Botany Master,"ASA Botanist ID 102745
IPNI urn:lsid:ipni.org:authors:709-1",,"Luciano Bernardi
M. Bernardi",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/758/831/V0256493F.jpg,2961774,V0256493F,18138,,Xylosma,venosa,,,,235,1888,1890,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,16.0,291395.0,90701.0,,,,,,,18.0,71264.0,Reverend Thomas Morong,T. Morong,Thomas,,Morong,Person,Botany Master,ASA Botanist ID 173296 | 108491,,Rev. T. Morong,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/758/832/V0256494F.jpg,2961773,V0256494F,2081288,,Xylosma,venosa,,,,1143,1979-11-26,,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,17.0,291395.0,90701.0,,,,,,,19.0,28695.0,Eugenia E. Bordas,E. Bordas,Eugenia,E.,Bordas,Person,Botany Master,ASA Botanist ID 105446,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/758/833/V0256495F.jpg,2961772,V0256495F,2213328,,Xylosma,venosa,,,,28551,1991-11-04,,,4606,,,,,Central,Paraguay,Central,,-25.5,25  30 00 S,-57.5,57 30 00 W,4580,18.0,291395.0,90701.0,,,,,,,20.0,27606.0,Elsa M. Zardini,E. Zardini,Elsa,Matilde,Zardini,Person,Botany Master,ASA Botanist ID 102812,,E. M. Zardini,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/758/841/V0256503F.jpg,2961785,V0256503F,2292254,,Xylosma,venosa,,,,2600,1987-05-25,,,594,,,,,Presidente Hayes,Paraguay,Presidente Hayes,,-24.0,24  00 00 S,-59.0,59 00 00 W,4580,19.0,291395.0,90701.0,,,,,,,21.0,16567.0,Aurelio Schinini,A. Schinini,Aurelio,,Schinini,Person,Botany Master,ASA Botanist ID 150790,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/758/866/V0256528F.jpg,2961778,V0256528F,1994205,,Xylosma,venosa,,,,19403,1978-12-23,,,4609,,,,,Concepción,Paraguay,Concepción,,-23.0,23  00 00 S,-57.0,57 00 00 W,4580,20.0,291395.0,90701.0,,,,,,,22.0,11853.0,Allesandro L. Bernardi,L. Bernardi,Allesandro,Luciano,Bernardi,Person,Botany Master,"ASA Botanist ID 102745
IPNI urn:lsid:ipni.org:authors:709-1",,"Luciano Bernardi
M. Bernardi",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
