ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
1,,157242,,,,Erythroxylum,havanense,,,,773,,,Sep 8 - Oct 5,233592,,,,,"Canada Estate, dry gulch",Saint Kitts and Nevis,,,,,,,3493,1,28589,89651,1,59546,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),2.0,46080.0,John F. Cowell,J. F. Cowell,John,Francis,Cowell,Person,Botany Master,,,J. F. Cowell,
2,,172185,,,,Erythroxylum,squamatum,,,,10509,,,,233593,300.0,600.0,984.0,1969.0,"Nevis Peak, southern slope",Saint Kitts and Nevis,,,,,,,3493,2,28740,89651,3,13235,Albert C. Smith,A. C. Smith,Albert,Charles,Smith,Person,Botany Master,ASA Botanist ID 101394,,,Collector (Botany),,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/2129/939/V0484074F.jpg,4184977,V0484074F,2108278.0,,Piper,dilatatum,,,,10495,1956-04-11,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,3,60056,100400,4,13235,Albert C. Smith,A. C. Smith,Albert,Charles,Smith,Person,Botany Master,ASA Botanist ID 101394,,,Collector (Botany),,,,,,,,,,,,,
4,,3933148,V0456854F,2107110.0,,Peperomia,hernandiifolia,,,,10519,1956-04-11,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,4,57094,56868,5,13235,Albert C. Smith,A. C. Smith,Albert,Charles,Smith,Person,Botany Master,ASA Botanist ID 101394,,,Collector (Botany),,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/2118/386/V0497273F.jpg,4012380,V0497273F,127949.0,,Drypetes,glauca,,glauca,variety,639,1901-09-08,1901-10-05,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,5,686803,207540,6,59546,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),7.0,46080.0,John F. Cowell,J. F. Cowell,John,Francis,Cowell,Person,Botany Master,,,J. F. Cowell,
6,http://fm-digital-assets.fieldmuseum.org/1796/469/C0361488F.jpg,3943297,C0361488F,450736.0,,Ctenitis,meridionalis,,,,s.n.,1889,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,6,606145,89234,8,34060,George S. Jenman,G. S. Jenman,George,Samuel,Jenman,Person,Botany Master,ASA Botanist ID 100088,,,Collector (Botany),,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1881/441/C0358884F.jpg,4021087,C0358884F,1244742.0,,Trichomanes,alatum,,,,254,1932-01-,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,7,624969,92928,9,37253,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/1890/005/C0364631F.jpg,4034416,C0364631F,1244789.0,,Cyathea,arborea,,,,377,1935-02-17,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,8,22783,88511,10,37253,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1991/979/C0361382F.jpg,4121076,C0361382F,484506.0,,Ctenitis,meridionalis,,,,s.n.,1889,,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,9,606145,89234,11,34060,George S. Jenman,G. S. Jenman,George,Samuel,Jenman,Person,Botany Master,ASA Botanist ID 100088,,,Collector (Botany),,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/2129/906/V0484030F.jpg,3972603,V0484030F,127944.0,,Piper,reticulatum,,,,450,1901-09-08,1901-10-05,,3493,,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,,17.3333,17  20 00 N,-62.75,62 45 00 W,21540,10,60601,100400,12,59546,Nathaniel L. Britton,N. L. Britton,Nathaniel,Lord,Britton,Person,Botany Master,ASA Botanist ID 100068,,,Collector (Botany),13.0,46080.0,John F. Cowell,J. F. Cowell,John,Francis,Cowell,Person,Botany Master,,,J. F. Cowell,
