ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
1,,157094,,1523563.0,,Erythroxylum,havanense,,,,1021,,,,233599,,,,,"The Morve, Caslvies",Saint Lucia,,,,,,,185,1,28589,89651,1.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,172147,,,,Erythroxylum,squamatum,,,,21628,,,,233594,850.0,1000.0,2789.0,3281.0,along track between Barre de l'Isle & Morne La Combe,Saint Lucia,,,,,,,185,2,28740,89651,2.0,568.0,George R. Proctor,G. R. Proctor,George,Richardson,Proctor,Person,Botany Master,ASA Botanist ID 101316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,157976,,,,Erythroxylum,havanense,,,,17818,,,4 Apr. -12 Jun,233600,3.0,61.0,10.0,200.0,vicinity of Castries,Saint Lucia,,,,,,,185,3,28589,89651,3.0,568.0,George R. Proctor,G. R. Proctor,George,Richardson,Proctor,Person,Botany Master,ASA Botanist ID 101316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,172025,,,,Erythroxylum,squamatum,,,,1558,,,,233595,300.0,400.0,984.0,1312.0,"Barre de l'Isle, Castries-Dennery Road",Saint Lucia,,,,,,,185,4,28740,89651,4.0,66616.0,Richard S. Cowan,R. S. Cowan,Richard,Sumner,Cowan,Person,Botany Master,ASA Botanist ID 101515,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
5,,172059,,,,Erythroxylum,squamatum,,,,17931,,,,233596,945.0,,3100.0,,Forest near summit of Morne Gimie,Saint Lucia,,,,,,,185,5,28740,89651,5.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),6.0,105603.0,N. E. Weaver Jr.,"N. E. Weaver, Jr.",N.,E.,Weaver,Person,Botany Master,,,,,,,,,,,,,,,,,
6,,157356,,,,Erythroxylum,havanense,,,,1581,,,,233597,0.0,175.0,0.0,574.0,Mont du Cap,Saint Lucia,,,,,,,185,6,28589,89651,7.0,66616.0,Richard S. Cowan,R. S. Cowan,Richard,Sumner,Cowan,Person,Botany Master,ASA Botanist ID 101515,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
7,,157622,,,,Erythroxylum,havanense,,,,11324,,,22 Apr - 18 May,233598,,,,,roadside at 4 mile post on castries-Dennery Road,Saint Lucia,,,,,,,185,7,28589,89651,8.0,66479.0,Richard A. Howard,R. A. Howard,Richard,Alden,Howard,Person,Botany Master,ASA Botanist ID 102117,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/172/486/APOC_tabe_citr_1523567.jpg|http://fm-digital-assets.fieldmuseum.org/2187/688/V0484846F.jpg,390051,V0484846F,1523567.0,,Tabernaemontana,citrifolia,,,,1019,1945-05-20,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,8,76561,84287,9.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/1842/169/C0669787F.jpg,3979556,C0669787F,1523784.0,,Phlebodium,aureum,,,,1164,1945-07-13,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,9,377867,377875,10.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/1846/845/C0362611F.jpg,3983008,C0362611F,1523684.0,,Thelypteris,reticulata,,,,1094,1945-06-12,,,185,,,,,Saint Lucia,Saint Lucia,,,13.8833,13  53 00 N,-60.9667,60 58 00 W,21540,10,291138,107298,11.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
