ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
1,,259358,,,,Maytenus,tetragona,,,,1565,1890-03-,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,1.0,47167.0,86580.0,1.0,36510.0,Huron H. Smith,Hur. H. Smith,Huron,Herbert,Smith,Person,Botany Master,ASA Botanist ID 107170,,,Collector (Botany),2.0,32565.0,G. W.,G. W.,G.,,W.,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/1209/090/33461.jpg,226486,,,,Olisbea,rhizophoraefolia,,,,,1816,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,2.0,53159.0,285467.0,3.0,4116.0,Lambert,Lambert,,,Lambert,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1209/185/33490.jpg,213101,,,,Eugenia,lambertiana,,,,,1818,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,3.0,29500.0,97464.0,4.0,4116.0,Lambert,Lambert,,,Lambert,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,158385,,,,Erythroxylum,havanense,,,,s.n.,,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,4.0,28589.0,89651.0,5.0,805.0,Herbert H. Smith,Herb. H. Smith,Herbert,Huntington,Smith,Person,Botany Master,ASA Botanist ID 115804 | 177214,,,Collector (Botany),6.0,39248.0,Gerald Lomax Smith,G. Lom. Smith,Gerald,Lomax,Smith,Person,Botany Master,ASA Botanist ID 109807,,,Collector (Botany),7.0,31450.0,Frederick D. Godman,F. D. Godman,Frederick,Ducane,Godman,Person,Botany Master,,,F. D. Godman,
5,http://fm-digital-assets.fieldmuseum.org/1220/992/34059.jpg,249318,,,,Croton,helicoideus,,,,,,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,5.0,21714.0,89693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,158386,,,,Erythroxylum,havanense,,,,852,,,,233603,,,,,southern end of the island,Saint Vincent And The Grenadines,,,,,,,3491,6.0,28589.0,89651.0,8.0,805.0,Herbert H. Smith,Herb. H. Smith,Herbert,Huntington,Smith,Person,Botany Master,ASA Botanist ID 115804 | 177214,,,Collector (Botany),9.0,34109.0,George W. Smith,G. W. Smith,George,Whitfield,Smith,Person,Botany Master,,,G. W. Smith,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/1796/783/C0663356F.jpg,3943749,C0663356F,142577.0,,Adiantum,villosum,,,,6945,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,7.0,210800.0,102066.0,10.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
8,http://fm-digital-assets.fieldmuseum.org/494/844/V0093717F.jpg,253597,V0093717F,157298.0,,Gesneria,cymosa,,,,6662,1889-12-27,,,16484,,,,,Mount Saint Andrew,Saint Vincent And The Grenadines,,,,,,,3491,8.0,33482.0,91171.0,11.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
9,,158228,,,,Erythroxylum,havanense,,,,10173,,,,233601,,,,,West Coast,Saint Vincent And The Grenadines,,,,,,,3491,9.0,28589.0,89651.0,12.0,13235.0,Albert C. Smith,A. C. Smith,Albert,Charles,Smith,Person,Botany Master,ASA Botanist ID 101394,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/1824/973/C0669507F.jpg,3961411,C0669507F,142502.0,,Polypodium,lycopodioides,,,,6537,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,10.0,382923.0,101053.0,13.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/1825/097/C0669879F.jpg,3961457,C0669879F,142528.0,,Polypodium,piloselloides,,,,6795,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,11.0,382925.0,101053.0,14.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/1208/897/33409.jpg,217239,,,,Heteropterys,appendiculata,,,,,1816,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,12.0,36631.0,36618.0,15.0,4116.0,Lambert,Lambert,,,Lambert,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/1208/967/33428.jpg,225976,,,,Nissolia,robiniaefolia,,,,,1816,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,13.0,52230.0,90368.0,16.0,4116.0,Lambert,Lambert,,,Lambert,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,http://fm-digital-assets.fieldmuseum.org/1220/808/33855.jpg,236087,,,,Badula,caribaea,,,,14,,,,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,14.0,8562.0,283196.0,17.0,51058.0,Lansdown Guilding,L. Guilding,Lansdown,,Guilding,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,http://fm-digital-assets.fieldmuseum.org/1845/395/C0354646F.jpg,3981681,C0354646F,142517.0,,Tectaria,martinicensis,,,,6729,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,15.0,624005.0,,18.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
16,http://fm-digital-assets.fieldmuseum.org/1796/655/C0668190F.jpg,3943543,C0668190F,142547.0,,Trichomanes,punctatum,,,,6854,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,16.0,383821.0,92928.0,19.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
17,http://fm-digital-assets.fieldmuseum.org/1796/724/C0668240F.jpg,3943593,C0668240F,142553.0,,Trichomanes,membranaceum,,,,6861,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,17.0,79332.0,92928.0,20.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
18,http://fm-digital-assets.fieldmuseum.org/1841/064/C0362262F.jpg,3978595,C0362262F,142532.0,,Dryopteris,decussata,,,,6805,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,18.0,609568.0,89237.0,21.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
19,http://fm-digital-assets.fieldmuseum.org/1841/860/C0359074F.jpg,3979300,C0359074F,142564.0,,Cyclopeltis,semicordata,,,,6896,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,19.0,23030.0,8266.0,22.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
20,http://fm-digital-assets.fieldmuseum.org/1797/717/C0360886F.jpg,3945699,C0360886F,142550.0,,Cyathea,tenera,,,,6859,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,20.0,579787.0,88511.0,23.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
21,http://fm-digital-assets.fieldmuseum.org/1797/720/C0360887F.jpg,3945700,C0360887F,142557.0,,Cyathea,tenera,,,,6868,,,s.d.,16488,,,,,,Saint Vincent And The Grenadines,,,,,,,3491,21.0,579787.0,88511.0,24.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
