ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/1842/635/C0663778F.jpg,3980000,C0663778F,185016.0,,Polytaenium,,,,,s.n.,1905-11-18,,,16586,,,,,Port of Spain,Trinidad And Tobago,Saint George,,10.6333,10  38 00 N,-61.5167,61 31 00 W,709582.0,1.0,412845.0,102077.0,,,,1.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/1797/751/C0678133F.jpg,3945727,C0678133F,17300013.0,,Cyathea,tenera,,,,80,1877-10-27,,,16586,,,,,Port of Spain,Trinidad And Tobago,Saint George,,10.6333,10  38 00 N,-61.5167,61 31 00 W,709582.0,2.0,579787.0,88511.0,,,,2.0,16330.0,August Fendler,A. Fendler,August,,Fendler,Person,Botany Master,ASA Botanist ID 148949 | 162880,,"Augustus Fendler
Fendler",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/1889/997/C0364624F_a.jpg|http://fm-digital-assets.fieldmuseum.org/1889/998/C0364624F_b.jpg,4034409,C0364624F,,,Polypodium,incanoides,,,,s.n.,,,s.d.,16586,,,,,Port of Spain,Trinidad And Tobago,Saint George,,10.6333,10  38 00 N,-61.5167,61 31 00 W,709582.0,3.0,620127.0,101053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/2108/664/V0495807F.jpg,3999014,V0495807F,175624.0,,Croton,flavens,,,,,1905-01-21,,,16586,,,,,Port of Spain,Trinidad And Tobago,Saint George,,10.6333,10  38 00 N,-61.5167,61 31 00 W,709582.0,4.0,21653.0,89693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/1462/880/V0409900F_a.jpg|http://fm-digital-assets.fieldmuseum.org/1462/881/V0409900F.jpg,206980,V0409900F,1655773.0,,Licania,pyrifolia,,,,2112,1966-06-21,,,531072,,,,,Royal Botanic Garden,Trinidad And Tobago,Saint George,,,,,,16586.0,5.0,42784.0,42682.0,,,,3.0,34421.0,Ghillean ('Iain') T. Prance,G. T. Prance,Ghillean ('Iain'),Tolmie,Prance,Person,Botany Master,ASA Botanist ID 100359 | 145109,,Ian Prance,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
6,,4093625,V0521374F,577066.0,,Plukenetia,,,,,2466,,,,16590,,,,,,Trinidad And Tobago,,,10.5,10  30 00 N,-61.25,61 15 00 W,711578.0,6.0,285848.0,89741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,50688,,611141.0,,Ficus,benjamina,,,,s.n.,1923,,,16589,,,,,Trinidad And Tobago,Trinidad And Tobago,,,11.0,11  00 00 N,-61.0,61 00 00 W,22205.0,7.0,31616.0,97324.0,,,,4.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,56558,,551281.0,,Talisia,olivaeformis,,,,5237,1925-05-,,,16589,,,,,Trinidad And Tobago,Trinidad And Tobago,,,11.0,11  00 00 N,-61.0,61 00 00 W,22205.0,8.0,76802.0,76775.0,,,,5.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,56386,,611114.0,,Sterculia,,,,,s.n.,1924-06-09,,,16589,,,,,Trinidad And Tobago,Trinidad And Tobago,,,11.0,11  00 00 N,-61.0,61 00 00 W,22205.0,9.0,75123.0,105016.0,,,,6.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,http://fm-digital-assets.fieldmuseum.org/221/967/V0068530F.jpg,274748,V0068530F,654673.0,,Borreria,evenia,,,,4875,,,,16589,,,,,Trinidad And Tobago,Trinidad And Tobago,,,11.0,11  00 00 N,-61.0,61 00 00 W,22205.0,10.0,10867.0,10844.0,,,,7.0,16795.0,B. Leobo,B. Leobo,B.,,Leobo,Person,Botany Pilot Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,http://fm-digital-assets.fieldmuseum.org/21/979/568.jpg,221837,,,,Macrocnemum,candidissimum,,,,,,,,16589,,,,,Trinidad And Tobago,Trinidad And Tobago,,,11.0,11  00 00 N,-61.0,61 00 00 W,22205.0,11.0,45172.0,285032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,http://fm-digital-assets.fieldmuseum.org/1845/412/C0672413F.jpg,3981698,C0672413F,554467.0,,Tectaria,plantaginea,,,,5476,1924-11-07,,,16590,,,,,,Trinidad And Tobago,,,10.5,10  30 00 N,-61.25,61 15 00 W,711578.0,12.0,77028.0,89246.0,,,,8.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,http://fm-digital-assets.fieldmuseum.org/2058/086/V0483262F.jpg,4141853,V0483262F,249095.0,,Phyllanthus,juglandifolius,cornifolius,,,2727,1906-06-06,,,16590,,,,,,Trinidad And Tobago,,,10.5,10  30 00 N,-61.25,61 15 00 W,711578.0,13.0,290158.0,58951.0,,,,9.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
