ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,taxon_3_IdeTaxonRef_key,taxon_3_taxon_irn,taxon_3_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
1,http://fm-digital-assets.fieldmuseum.org/495/648/V0107211F.jpg,2381563,V0107211F,1252646.0,,Acca,sellowiana,,,,1883,1930-09-,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,1.0,213086.0,46117.0,,,,,,,1.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,http://fm-digital-assets.fieldmuseum.org/61/039/V0064886F.jpg,334939,V0064886F,680838.0,,Campomanesia,malifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,2.0,841.0,13819.0,,,,,,,2.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,http://fm-digital-assets.fieldmuseum.org/61/038/V0064885F.jpg,334940,V0064885F,936934.0,,Campomanesia,malifolia,,,,,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,3.0,841.0,13819.0,,,,,,,3.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,http://fm-digital-assets.fieldmuseum.org/56/960/V0060647F.jpg,333151,V0060647F,864931.0,,Gunnera,herteri,,,,1523,1931-11-,,,27780,,,,,Fortaleza Santa Teresa,Uruguay,Rocha,,,,,,624353,4.0,115274.0,34959.0,,,,,,,4.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,http://fm-digital-assets.fieldmuseum.org/225/603/V0072496F.jpg,253922,V0072496F,586562.0,,Gratiola,uruguayensis,,,,1062,1926-12-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,5.0,34393.0,104646.0,,,,,,,5.0,42758.0,John W. Thieret,J. W. Thieret,John,William,Thieret,Person,Botany Master,ASA Botanist ID 170369,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,236472,,,,Solanum,commeronii,,,,,1767,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,6.0,73007.0,104801.0,,,,,,,6.0,63315.0,Philibert Commerson,P. Commerson,Philibert,,Commerson,Person,Botany Master,ASA Botanist ID 113825,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,http://fm-digital-assets.fieldmuseum.org/293/472/6774.jpg,236709,,,,Solanum,isabelli,,,,,1838,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,7.0,73280.0,104801.0,,,,,,,7.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,236710,,,,Solanum,isabelli,,,,,1828,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,8.0,73280.0,104801.0,,,,,,,8.0,15928.0,Arsène Isabelle,A. Isabelle,Arsène,,Isabelle,Person,Botany Master,ASA Botanist ID 137978,,"M. Arsène Isabelle
Arsenio Isabelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,http://fm-digital-assets.fieldmuseum.org/36/395/3927.jpg,237467,,,,Spigelia,scabra,,,,1477,,,,23804,,,,,Montevideo,Uruguay,Montevideo,,-34.8333,34  50 00 S,-56.1667,56 10 00 W,18049,9.0,74451.0,95610.0,,,,,,,9.0,31680.0,Friedrich Sellow,F. Sellow,Friedrich,,Sellow,Person,Botany Master,ASA Botanist ID 124497,,Friedrich Sello,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,219180,,,,Jacobinia,suberecta,,,,,1899,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,10.0,40117.0,83428.0,,,,,,,10.0,26643.0,Édouard-François André,Ed. André,Édouard-François,,André,Person,Botany Master,ASA Botanist ID 101709,,E. André,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
