Name,First date flourished,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Author,Geography Collector,Specialty Author,Specialty Collector,Citation as Author,Citation as Collector,Member of teams/groups,Collector Teams:,Author Teams:,Date of birth,Date of death,Author in,Holdings,Collections in,First date collected,Start Date,URL,Last date flourished,Last date collected,Citation as Determiner,End Date,Geography Determiner,Specialty Determiner
"Archila, Fredy",2000,[author note: orchids] [collector note: BIGUA],120105 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4d8d379e-0513-4494-8f87-7e3e955f0726,"Archila Morales, Fredy Leonel; Fredy Archila; Fredy Leonel Archila Morales",Archila,Archila,F. Archila,"Archila, Fredy","Guatemala, United States of America",Guatemala,Spermatophytes,Phanerogams,Revista Guatemal. 3(1): 33. 2000,Revista Guatemal. 3(1): 68. 2000,,"F. Archila, G. R. Chiron & M. E. Véliz Pérez","F. Archila, G. R. Chiron & M. E. Véliz Pérez",,,,,,,,,,,,,,
"Bartlett, Harley Harris",,"[author note: Herbarium and types: MICH, duplicates widely distributed] [collector note: A, AMES, B, BISH, C, DH, DS, F, GH, ILL, K, L, LCU, MICH (orig.), MO, NY, PNH, POM, SING, TEX, US, W]",102756 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a6aa5108-db47-41b0-b2fd-7dbaf43931ec,"Bartlett, H. H.",Bartlett,,H. H. Bartlett,"Bartlett, Harley Harris",United States of America,"Argentina, Belize, Guatemala, Haiti, Indonesia, Malaysia, Mexico, Panama, Philippines, United States of America, Uruguay",Pteridophytes; Spermatophytes,Algae; Bryophytes; Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Rhodora; Journal of the New England Botanical Club. Cambridge, MA",Index Herbariorum - Collectors A-D; Pl. Collectors N. Mexico. 1979,,"H. H. Bartlett & C. D. La Rue  M. L. Fernald & H. H. Bartlett  H. H. Bartlett & T. Lasser  Bartlett & Yamamoto  B. L. Robinson & Bartlett  M. L. Fernald, H. H. Bartlett & A. J. Eames  H. H. Bartlett & J. F. Grayson",Bartlett & Yamamoto  B. L. Robinson & Bartlett,1886,1960,Fifty Five Rare Books,Search for specimens collected by H. H. Bartlett,"[no date] (16),  1903 (9),  1904 (14),  1905 (30),  1906 (41),  1907 (45),  1908 (137),  1909 (2),  1910 (2),  1912 (2),  1914 (1),  1915 (1),  1918 (1),  1925 (7),  1926 (22),  1927 (158),  1930 (83),  1931 (87),  1933 (4),  1934 (2),  1935 (384),  1938 (4),  1940 (12),  1941 (45),  1942 (5),  1943 (32),  1944 (3),  1945 (1),  1946 (1),  1951 (28),  1952 (43),  1955 (2),  1956 (3)",,,,,,,,,
"Beaman, John Homer",,"[author note: Herbarium and types: MSC. Mt. Kinabalu; Eponymy: Townsendia beamanii S. L. Welsh (2003).] [collector note: MEXU, MSC]Example of Name Published: Townsendia annua Beaman, Contr. Gray Herb. 183: 132. 1957",101063 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d1cad55a-05f2-49df-b993-2182386874b4,"Beaman, J. H.; John H. Beaman",Beaman,Beaman,J. H. Beaman,"Beaman, John Homer","Malaysia, Mexico, United States of America","Guatemala, Malaysia, Mexico, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Death year from Alan Prather (via Richard K. Rabeler; MICH)","Index Herbariorum, ed. 8; Pl. Collectors N. Mexico. 1979",,"J. H. Beaman, R. S. Beaman & P. J. Decker  J. H. Beaman & C. A. del Castillo  J. H. Beaman, R. S. Beaman, T. E. Beaman, J. Kennard & F. H. Sheldon  J. H. Beaman, T. E. Beaman & E. A. Christenson  R. E. Schultes, A. S. Barclay, J. H. Beaman, J. A. Freeberg & T-B. Lee  Seidenschnur & Beaman  Beaman & DeJong  DeJong & Beaman  Andresen & Beaman  J. H. Beaman, R. S. Beaman, T. E. Beaman & K. W. Tan  J. H. Beaman, R. S. Beaman & T. E. Beaman  J. H. Beaman, R. S. Beaman, T. E. Beaman & P. J. Decker  J. H. Beaman & F. H. Erbisch  J. H. Beaman & K. J. Stone  J.H. Beaman, R. S. Beaman, P. J. Decker & K. Medley  J. H. Beaman, R. S. Beaman, P. J. Decker & K. Medley  J. H. Beaman, R. S. Beaman & B. Sutton  J. H. Beaman & B. Sutton  J. H. Beaman, R. S. Beaman, T. E. Beaman, P. J. Decker & B. Sutton  J. H. Beaman, J. H. Asher, R. S. Beaman, S. C. Bromley & P. J. Decker  J. H. Beaman, R. S. Beaman, K. Medley & T. Lawrence Mellichamp  J. H. Beaman & T. E. Beaman  J. H. Beaman, R. S. Beaman, P. J. Decker & B. Sutton  J. H. Beaman, R. S. Beaman & T. Lawrence Mellichamp  J. H. Beaman, R. S. Beaman, P. J. Decker & K. Dwyer  R. K. Godfrey & J. H. Beaman  J. H. Beaman, R. S. Beaman, T. E. Beaman & S. H. Sohmer  J. H. Beaman, R. S. Beaman, T. E. Beaman, P. Decker & K. Medley  W. P. Stoutamire & J. H. Beaman  P. D. Sørensen & J. H. Beaman  W. B. Fox, R. K. Godfrey & J. H. Beaman  W. B. Fox & J. H. Beaman  R. K. Godfrey, B. W. Wells & J. H. Beaman  J. H. Beaman & T. W. Seiger  F. M. Ownbey, J. H. Beaman & S. J. Preece",Seidenschnur & Beaman  Beaman & DeJong  DeJong & Beaman  Andresen & Beaman  Asher & Beaman,1929,2015,Pl. Mt. Kinabalu [J.H. Beaman et al.]; Orchids Mount Kinabalu,Search for specimens collected by J. H. Beaman,"[no date] (7),  1084 (1),  1900 (1),  1944 (1),  1948 (1),  1949 (12),  1950 (1),  1952 (1),  1953 (97),  1954 (1),  1957 (2),  1958 (16),  1959 (17),  1960 (40),  1971 (6),  1972 (4),  1981 (1),  1982 (1),  1983 (290),  1984 (665),  1994 (13),  1995 (51),  1996 (21),  1998 (27)",,,,,,,,,
"Behar Alcahé, Moises",1990,[author note: Orchidaceae] [collector note: Orchidaceae: MO],117419 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cd8a0928-651a-47c8-bb0d-db3444702eba,Moises Béhar,Béhar,Béhar,M. Béhar,"Behar Alcahé, Moises",Guatemala,Guatemala,Spermatophytes,Phanerogams,"Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL","Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL",,"M. Béhar, C. A. Luer & J. P. Luer  C. A. Luer & M. Béhar",Luer & Béhar,,,,,,,,,,,,,,
"Bernoulli, Karl (Carl) Gustav",,"[author note: Herbarium and types: BAS, K; additional material at B, BR, BOLU, FI, G, GOET, LE, S, STR, U, W] [collector note: Herbarium and types: BAS, K; additional material at AMES, B, BR, BOLU, FI, G, G-DC, GOET, L, LE, S, STR, U, W]",101031 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b8b94c38-67b5-43f4-8033-11e185229aef,"Bernouilli, Carl Gustav; C. G. Bernouilli; C. G. Bernoulli; Karl (Carl) Gustav Bernoulli",Bernoulli,Bernoulli,K. G. Bernoulli,"Bernoulli, Karl (Carl) Gustav","Guatemala, Switzerland",Guatemala,Pteridophytes; Spermatophytes,Phanerogams; Pteridophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Taxon. Lit., ed. 2 (TL2)/S",Monographs in Systematic Botany from the Missouri Botanical Garden. St. Louis; Index Herbariorum - Collectors A-D,,K. G. Bernoulli & R. Cario,,1834,1878,Gefässkrypt. Schweiz,Search for specimens collected by K. G. Bernoulli,"[no date] (3),  1865 (1),  1868 (1),  1869 (1),  1870 (1)",,,,,,,,,
"Blake, Sidney Fay",,"[author note: Herbarium and types: US; duplicates at A, B, BM, FI, GH, ILL, K, L, LAM, LCU, M (lichens), MAD, MT, NA, NY, PH, TEX, US] [collector note: Central America: GH, K, A, BM, MT, US (orig.). Other collections at: FI, ILL, L, LAM, LCU, NA, NY; Virginia: FH; collected lichens with W. W. Diehl]",101653 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bb567d01-5cc3-4990-8296-c64d33ea0dda,"Blake, S. F.; Blake, Sydney Fay; Sidney Fay Blake",S. F. Blake,S. F. Blake,S. F. Blake,"Blake, Sidney Fay",United States of America,"Canada, Cuba, Guatemala, Honduras, United States of America",Bryophytes; Pteridophytes; Spermatophytes,Phanerogams; Lichens,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,"D. D. Keck, L. Abrams & S. F. Blake  S. F. Blake & M. L. Fernald  Britton & S. F. Blake  S. F. Blake & Sherff  Rusby & S. F. Blake  Sherff & S. F. Blake  S. F. Blake & Standley  Pittier & S. F. Blake  F. T. Hubbard & S. F. Blake  Weatherby & S. F. Blake  Coville & S. F. Blake  Urban & S. F. Blake  S. F. Blake & W. W. Diehl  R. Melville, S. Blake & S. Everist  S. F. Blake & L. Griscom  F. W. Hunnewell & S. F. Blake  C. A. Robbins; S. F. Blake & L. Griscom  S. F. Blake & I. M. Johnston  L. Griscom; C. A. Robbins & S. F. Blake  S. F. Blake & A. J. Cronquist","Britton & S. F. Blake  S. F. Blake & Sherff  Rusby & S. F. Blake  Sherff & S. F. Blake  S. F. Blake & Standley  Pittier & S. F. Blake  F. T. Hubbard & S. F. Blake  Weatherby & S. F. Blake  Coville & S. F. Blake  Urban & S. F. Blake  S. F. Blake & I. Shiller  R. Melville, S. F. Blake & Everist  S. F. Blake & Cronquist",1892,1959,"Geogr. Guide Fl. World, Pt. I; Geogr. Guide Fl. World, Pt. II; Fl. Stoughton, Massachusetts",Search for specimens collected by S. F. Blake,"[no date] (7),  1898 (1),  1905 (1),  1908 (8),  1909 (64),  1910 (112),  1911 (479),  1912 (77),  1913 (238),  1916 (13),  1917 (7),  1918 (7),  1919 (33),  1920 (7),  1921 (1),  1922 (2),  1923 (11),  1924 (51),  1925 (106),  1926 (156),  1927 (173),  1928 (94),  1929 (32),  1930 (45),  1931 (37),  1932 (34),  1933 (34),  1934 (12),  1935 (26),  1936 (14),  1937 (19),  1938 (5),  1939 (5),  1940 (8),  1941 (2),  1944 (1),  1945 (2),  1946 (1),  1947 (12),  1948 (2),  1949 (6),  1950 (2),  1951 (6),  1952 (8),  1954 (4),  1955 (3),  1956 (1),  1957 (6),  1958 (1),  1959 (4)",,,,,,,,,
"Brigham, William Tufts",,"[author note: Hawaii] [collector note: Voyage around the world (col. 1912): BISH, CU, GH, NY, US; Hawaii]",102306 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/86fb502c-4298-452e-b4b8-bd3de58c4729,"Brigham, W. T.; William T. Brigham",Brigham,Brigham,W. T. Brigham,"Brigham, William Tufts","Guatemala, United States of America","Hong Kong, United States of America",Spermatophytes,,Guatemala; Land of the Quetzal; a sketch by W. T. Brigham. 1887,Index Herbariorum - Collectors A-D,,"H. Mann & W. T. Brigham  H. Mann, Jr. & W. T. Brigham",,1841,1926,"Guatemala, Land Quetzal",Search for specimens collected by W. T. Brigham,"[no date] (7),  1882 (1)",,,,,,,,,
"Bukasov, Sergei Mikhailovich",,"[collector note: B, BM, WIR]",101750 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f4f803a0-0214-489d-96ae-6582a1321cb9,Sergei Mikhailovich Bukasov,Bukasov,Bukasov,S. M. Bukasov,"Bukasov, Sergei Mikhailovich",,"Colombia, Guatemala, Mexico",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,S. V. Juzepczuk & S. M. Bukasov,Juzepczuk & Bukasov,1891,1983,Bases Potato Breed.,,,,,,,,,,,
"Horich, Clarence Klaus",,"[Author: née Klaus Hörich] [collector note: BOK, HB, HNT, I, MO, UCBG, US, USJ] Example of Name Published: Telipogon elcimeyae Braas & Horich Orchidee (Hamburg) 33: 91 1982.",122844 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/90c6d732-43c8-46ab-8b3c-78697d6b4c6b,"Clarence Kl. Horich; Hörich, Klaus; Hörich, Clarence Klaus; Horich, Clarence",Horich,Horich,C. K. Horich,"Horich, Clarence Klaus","Canada, Germany","Brazil, Costa Rica, Guatemala",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew",Icon. Orchid. fasc. 3(2): t. 316. 1999; pers. comm. with B. Bates,,"R. L. Dressler, C. K. Horich & E. Hágsater  E. Hágsater & C. K. Horich  E. Hágsater, C. K. Horich, R. L. Dressler, W. Thurston & B. Thurston  E. Baldizon-Horich & C. K. Horich  C. K. Horich & E. Hágsater",,1930,1994,,Search for specimens collected by C. K. Horich,"[no date] (16),  1957 (2),  1959 (1),  1960 (1),  1962 (2),  1963 (4),  1965 (1),  1966 (1)",,,,,,,,,
"Cario, Oscer Richard",,"[author note: Collector, with Bernoulli]",175374 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/eaba4e06-8d83-4402-a8cd-b575b87a22e7,Oscer Richard Cario,Cario,Cario,Cario,"Cario, Oscer Richard","Germany, Guatemala",,Spermatophytes,,"Monographiae Phanerogamarum Prodromi nunc Continuato, nunc Revisio Auctoribus Alphonso et Casimir de Candolle Aliisque Botanicis Ultra Memoratis. Paris",,,,,1856,,,,,,,,,,,,,
