Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Baker, Richard Eric Defoe",1908,1954,[collector note: Windward Is.; IMI],122350 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6c21f2d5-b341-4037-b4c5-a392396f4519,"Baker, Richard E. D.; Richard Eric Defoe Baker",R. E. D. Baker,R. E. D. Baker,R. E. D. Baker,"Baker, Richard Eric Defoe","Barbados, Trinidad and Tobago",Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,Search for specimens collected by R. E. D. Baker,"1946 (1),  1947 (1),  1949 (1),  1953 (2),  1954 (1)","R. E. Schultes, R. E. D. Baker & I. Cabrera",,,,,,,,,,,,,,,,,
"Baldwin, William",1779,1819,"[author note: Herbarium and types: PH (through Schweinitz and Lambert); duplicates at DWC, LASCA, MANCH, P-DU, WECO, WLU] [collector note: ""Congress"" voyage (1817-1818); CHARL, LAM, NY, PH (orig.)]",112458 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/37656846-189c-4ad8-b987-28f0b901d1be,Dr. Baldwin; William Baldwin,Baldwin,Baldwin,W. Baldwin,"Baldwin, William","Argentina, Barbados, Bermuda, Brazil, Chile, Colombia, Ecuador, Haiti, Jamaica, Panama, Peru, United States of America, Uruguay",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2), Suppl. 1",Index Herbariorum - Collectors A-D; Castanea. Occas. Pap. E. Bot. 23. 2002,,Search for specimens collected by W. Baldwin,"[no date] (3),  1819 (1)",,http://en.wikipedia.org/wiki/William_Baldwin_%28botanist%29,United States of America,Phanerogams,,,,,,,,,,,,,,
"Britton, Elizabeth Gertrude",1858,1934,"[author note: Herbarium and types: NY; additional material at B, DBN, F, FH, K, LE, MICH, MO, PC, US. Wife of N. L. Britton] [collector note: F, GH, K, LE, MICH, MO, NY, PC, US]",101082 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/89baddd4-c900-4c9d-97ae-0774f7927ed5,"Britton, Elizabeth Gertrude, Mrs.; Elizabeth Gertrude Britton; née Knight",E. Britton,E. Britton,E. G. Britton,"Britton, Elizabeth Gertrude","Bahamas, Barbados, Jamaica, Trinidad and Tobago, United States of America",Bryophytes; Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,Search for specimens collected by E. G. Britton,"[no date] (21),  1864 (1),  1866 (1),  1881 (1),  1883 (1),  1885 (4),  1886 (1),  1887 (4),  1888 (4),  1889 (6),  1890 (1),  1892 (7),  1893 (10),  1894 (7),  1896 (9),  1897 (46),  1898 (32),  1899 (2),  1900 (26),  1901 (72),  1902 (1),  1904 (5),  1905 (33),  1906 (4),  1907 (1),  1908 (6),  1910 (1),  1912 (9),  1913 (3),  1914 (1),  1915 (1),  1919 (1),  1921 (5),  1922 (3),  1987 (1)","E. G. Britton & D. W. Marble  N. L. Britton, E. G. Britton & M. S. Brown  N. L. Britton, E. G. Britton & J. F. Kemp  E. G. Britton, M. A. Howe & J. A. Shafer  N. L. Britton, E. G. Britton & P. Wilson  N. L. Britton, E. G. Britton & C. S. Gager  N. L. Britton, E. G. Britton & J. F. Cowell  N. L. Britton & E. G. Britton  S. Brown, N. L. Britton & E. G. Britton, et al.  E. Britton & E. B. Bartram  N. L. Britton, E. G. Britton & T. E. Hazen-1  E. G. Britton & D. Coker  N. L. Britton, E. G. Britton, F. S. Earle & C. S. Gager  N. L. Britton, E. G. Britton & T. E. Hazen  N. L. Britton, E. G. Britton & F. W. Horne  N. L. Britton, E. G. Britton & F. S. Earle  N. L. Britton, E. G. Britton & P. Wilson  N. L. Britton, E. G. Britton & J. A. Shafer  N. L. Britton, E. G. Britton & M. Timmerman  A. M. Vail & E. G. Britton  G. G. Kennedy, E. G. Britton & J. F. Collins  E. G. Britton, G. G. Kennedy & J. F. Collins  E. G. Britton & A. M. Small  E. G. Britton & N. L. Britton  A. M. Small & E. G. Britton  E. G. Britton & A. M. Vail  N. L. Britton, E. G. Britton & W. G. Freeman  E. G. Britton, D. Coker & W. R. Rowland  N. L. Britton, E. G. Britton & D. W. Marble  J. K. Small, N. L. Britton, E. G. Britton & J. B. DeWinkeler  N. L. Britton, E. G. Britton & A. M. Vail  A. Brown, T. Hogg, A. M. Vail, M. Timmerman, N. L. Britton and E. G. Britton",,"Bahamas, United States of America",Bryophytes; Lichens; Phanerogams; Pteridophytes,Musci Leiberg.; Mosses Kootnai,E. Britton & E. B. Bartram,,,,,,,,,,,,
Iris Bannochie,1914,1988,[collector note: [A] 1914-1988. Barbadian horticulturist. Lead expert on horticulture on Barbados. Also known as Iris Bayley.,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/903004b2-fd23-4e58-84ab-603355dd4015,"Bannochie, I.",,,I. Bannochie,Iris Bannochie,Barbados,,,Specimen (A) Tabernaemontana divaricata,,Search for specimens collected by I. Bannochie,1981 (1),,,,Spermatophytes,,,,,,,,,,,,,,
"Maycock, James Dottin",,1837,"[author note: Herbarium and types unknown, probably made no herbarium]",163222 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4f2f2958-3746-4be6-9001-9745a6777139,James Dottin Maycock,Maycock,Maycock,Maycock,"Maycock, James Dottin",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",,,,,,,Barbados,,,,,,,,,,,,,,,
"Munro, William",1818,1880,"[author note: Herbarium and types: K; additional material at DD, E, OXF] [collector note: Original herbarium: K]",108601 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f930f3fb-3cfd-40e7-a5d4-65d0a1363096,Colonel Munro; Sir William Munro; Capt. Munro; Major Munro; General Munro; Sir William Munro; Major Munro; General Munro; Capt. Munro,Munro,Munro,W. Munro,"Munro, William","Barbados, Canada, India, Saint Vincent and the Grenadines",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors M,,Search for specimens collected by W. Munro,"[no date] (1),  1854 (3),  1855 (1),  1858 (1)",Munro & Hooker,,"Barbados, India",Phanerogams; Pteridophytes,,Munro & Hooker,,,,,,,,,,,,
"Wright, William",1735,1819,"[author note: Herbarium and types: BM, E (3 vols.), LIV; additional material at BR] [collector note: BM]",125681 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3b6c94bd-5613-4370-b70d-e92c4149e8ca,William Wright,W. Wright,W. Wright,W. Wright,"Wright, William",Jamaica,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors T-Z,,Search for specimens collected by W. Wright,[no date] (2),,,"Barbados, Jamaica",Phanerogams,,,,,,,,,,,,,,
"Box, Harold Edmund",1898,,"[author note: Herbarium and types: BM; additional material at A, FHI, MO, US] [collector note: St. Lucia (in 1938): BM; W. Africa: BM (r. 1949), FHI; Br. W. Indies (Antigua): A, BM, MO, US; Venezuela: BM(r. 1948)]",113142 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a4f1c32b-f2e2-4fb7-aba8-a57786ff6018,Harold Edmund Box,Box,Box,H. E. Box,"Box, Harold Edmund",Antigua and Barbuda,Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,Search for specimens collected by H. E. Box,"1932 (1),  1937 (7),  1938 (7)",H. E. Box & A. Alayon  H. E. Box & K. (O.) Darko,,,,,,,,,,,,,,,,,
"Duss, Antoine (Rev. Père)",,,"[collector note: Antigua (1902): B; Dominica, St. Lucia (1883-1885): B (250), P; Guadeloupe and dependencies, Martinique (1876-1903): A, B (orig., 6700 incl. Crypt.), C (338), F (1180), GH, H (Musci), LD, LE, MICH, MO, NY, P (± 1000), PC, S, U, US (2841)] Guadeloupe and dependencies, Martinique (1876-1903): A, B(orig., 6700 incl. Crypt.), C(338), F(1180), GH, H(Musci), LD, LE, MICH, MO, NY, P(+/-1000), PC, S, U, US(2841)",105526 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/10e9f9fa-c54c-47c8-82d5-1a747d5ee990,Père Duss; Rev. Père Antoine Duss,,,A. Duss,"Duss, Antoine (Rev. Père)","Antigua and Barbuda, Martinique, Saint Lucia",,,Index Herbariorum - Collectors A-D,,Search for specimens collected by A. Duss,"[no date] (37),  1873 (1),  1877 (2),  1878 (1),  1879 (3),  1880 (3),  1881 (5),  1882 (4),  1884 (2),  1887 (2),  1889 (2),  1890 (1),  1891 (1),  1892 (10),  1893 (16),  1894 (13),  1895 (10),  1896 (8),  1897 (4),  1898 (4),  1899 (4),  1900 (5),  1901 (8),  1902 (10),  1903 (5),  1904 (2),  1909 (1)",,,,Phanerogams; Fungi; Mosses; Cryptogamic; Spermatophytes,,,1840,1924,,,,,,,,,,
"Gregory, Luis E.",,,[collector note: NY],103877 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e62ca713-a1fc-4198-8cb7-24307c58e2ad,Luis E. Gregory,L. E. Gregory,L. E. Greg.,L. E. Gregory,"Gregory, Luis E.",Antigua and Barbuda,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors E-H,,,,,,,,,,,,,,,,,,,,,
