Image_URL,Barcode,Multimedia_IRN,Taxon,Taxon_IRN,HUH_BotanistID_1,HUH_UUID_1,collectorName1,verbatimCollector1,HUH_BotanistID_2,HUH_GUID_2,collectorName2,verbatimCollector2,HUH_BotanistID_3,HUH_GUID_3,collectorName3,verbatimCollector3,HUH_BotanistID_4,HUH_GUID_4,collectorName4,verbatimCollector4,HUH_BotanistID_5,HUH_GUID_5,collectorName5,verbatimCollector5,CollectionNumber,CatologueNumber,minimumDate,maximumDate,verbatimCollectionDate,Year,Year_Validation,primary_master_irn,HUH_BotanistID_1,HUH_UUID_1,collectorName1,verbatimCollector1,primary_master_name,primary_score,secondary_2_master_irn,HUH_BotanistID_2,HUH_GUID_2,collectorName2,verbatimCollector2,secondary_2_master_name,secondary_2_score,secondary_3_master_irn,HUH_BotanistID_3,HUH_GUID_3,collectorName3,verbatimCollector3,secondary_3_master_name,secondary_3_score,secondary_4_master_irn,HUH_BotanistID_4,HUH_GUID_4,collectorName4,verbatimCollector4,secondary_4_master_name,secondary_4_score,secondary_5_master_irn,HUH_BotanistID_5,HUH_GUID_5,collectorName5,verbatimCollector5,secondary_5_master_name,secondary_5_score,Locality_IRN,countryName,stateProvinceTerritory,municipality,preciseLocality,latitudeDMS,longitudeDMS,latitudeDecimalDegrees,longitudeDecimalDegrees,altitudeMin,altitudeMax,altitudeUnits,Habitat,PlantDescription
http://fm-digital-assets.fieldmuseum.org/1394/480/V0081526F.jpg,V0081526F,1394480,Acnistus arborescens,2160,,,,[hant-Hint],,,,,,,,,,,,,,,,,P1807,1581973,[7 Nov 0059],s.d.,[11.7.59],59,No_Master_Data,,,,,[hant-Hint],,BRACKETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14539,Peru,Lima,,[Central-Perú],,,,,200.0,,Metres,Lomas,"Stauch (bush), Grösse (height): 1-1.5 m. Blütenfarbe (colour of fl.): [?]"
http://fm-digital-assets.fieldmuseum.org/579/496/V0116787F.jpg,V0116787F,579496,Abarema adenophora,1207,,3ea30969-e5ef-4fc0-926a-5dbcec17c6d7,"Díaz, Camilo",C. Díaz,187597,282a678a-1ed9-460f-9fdf-29f39de007a5,"Huamán, M.",M. Huamán,187598,518d0ce7-5c87-407c-ab5a-da7dea3802f6,"Salvador, F.",F. Salvador,187599,f0b7322c-52c6-4620-af4b-696abcf642b0,O. Portocarrero,"Portocarrero, O.",187600,0ecda8c8-4ae6-4d78-8ffc-08af9b043faf,"Medina, M.",M. Medina,10647,2304555,07 Feb 1999,s.d.,07 Febrero 1999,1999,Valid|DateRange_Match,19764,,3ea30969-e5ef-4fc0-926a-5dbcec17c6d7,"Díaz, Camilo",C. Díaz,,Name|Country|Date,53206,187597,282a678a-1ed9-460f-9fdf-29f39de007a5,"Huamán, M.",M. Huamán,,Name|ID|Country|Date|Team,,187598,518d0ce7-5c87-407c-ab5a-da7dea3802f6,"Salvador, F.",F. Salvador,,NoMatch,,187599,f0b7322c-52c6-4620-af4b-696abcf642b0,O. Portocarrero,"Portocarrero, O.",,NoMatch,47359,187600,0ecda8c8-4ae6-4d78-8ffc-08af9b043faf,"Medina, M.",M. Medina,,Name,4738,Peru,Amazonas,,Bagua.; Soldado Oliva. Carretera entre Bagua-Imaza.,,,,,660.0,,Metres,,"Arbusto 3 m, inflorescencias blanco-cremosas"
http://fm-digital-assets.fieldmuseum.org/579/525/V0116810F.jpg,V0116810F,579525,Abarema floribunda,1212,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",José Schunke Vigo,,,,,,,,,,,,,,,,,6865,2034723,01 Jun 1974,s.d.,1 Junio 1974,1974,Valid|DateRange_Match,47225,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",José Schunke Vigo,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15591,Peru,San Martin,,Mariscal Cáceres. Tocache Nuevo. Puente Pizana (márgen derecha del Rio Huallaga).,,,,,350.0,,Metres,En bosque alto,"Arbol, 17-18 m, 17 diám. Flores pardas; estambres rosa obscuro; sépalos verde-amarillento. Las hojas son brillosas en la cara superior de color verde-amarillo envés pardo-rojizo."
http://fm-digital-assets.fieldmuseum.org/579/549/V0116830F.jpg,V0116830F,579549,Abarema laeta,1217,127852,16448cab-140e-4876-a514-823e38666ae4,"Grández Rios, Cesar",C. Grández,126883,4087ff63-757f-4fd8-b313-3985d98e4828,"Jaramillo, Nestor",N. Jaramillo,,0dc8af45-08b2-409a-97f5-89bb64c4820b,"Criollo, G.",G. Criollo,,,,,,,,,4686,2304559,08 Oct 1992,s.d.,08 Octubre 1992,1992,Valid|DateRange_Match,20757,127852,16448cab-140e-4876-a514-823e38666ae4,"Grández Rios, Cesar",C. Grández,C. Grández,Name|ID|Country|Date|Team,58881,126883,4087ff63-757f-4fd8-b313-3985d98e4828,"Jaramillo, Nestor",N. Jaramillo,,Name|ID|Country|Date,105132,,0dc8af45-08b2-409a-97f5-89bb64c4820b,"Criollo, G.",G. Criollo,G. Criollo,Name|Country|Date|Team,,,,,,,,,,,,,,,14583,Peru,Loreto,,Maynas; Distrito Iquitos Puerto Almendras. Arboretum C.I. Forstal UNAP.,03 48 S,73 25 W,,,122.0,,Metres,"Bosque primario, suelo arcilloso","Arbusto, 6 mts"
http://fm-digital-assets.fieldmuseum.org/556/206/V0118342F.jpg,V0118342F,556206,Aciotis acuminifolia,842030,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,,,,,,,,,,,,,,,,21,1800794,12 Dec 1976,s.d.,12 Diciembre 1976,1976,Valid|DateRange_Match,47500,147643,275b6b8f-2930-4447-a4e8-8c6454b6b046,"Revilla, Juan",Juan Revilla,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Provincia: Maynas, Distrito: Padre Isla, frente a la boca del río Nanay en el Amazonas.",,,,,,,,,"Hierba, flores celestes, en purma, 0.4 m."
http://fm-digital-assets.fieldmuseum.org/556/377/V0118512F.jpg,V0118512F,556377,Aciotis purpurascens,2119,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,,,,D. Smith,,,,G. Criollo D.,,,,,,,,,36405,2003674,17 Mar 1982,s.d.,17 Mar 1982,1982,Valid|DateRange_Match,14382,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,A. H. Gentry,Name|ID|Country|Date|Team,131113,,,,D. Smith,,Name|Country|Date,,,,,G. Criollo D.,,NoMatch,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Swampy area at edge of oxbow lake, Quistacocha",03 45 S,73 20 W,,,130.0,,Metres,Swampy area,"Herb, flowers white"
http://fm-digital-assets.fieldmuseum.org/586/237/V0151495F.jpg,V0151495F,586237,Aiouea grandifolia,3181,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,146893,f9acbd66-a9ca-492d-8446-ec6e57776370,"Vásquez, Roberto",R. Vásquez,126883,4087ff63-757f-4fd8-b313-3985d98e4828,"Jaramillo, Nestor",N. Jaramillo,,,,,,,,,42954,1985509,14 Jul 1983,s.d.,14 Jul 1983,1983,Valid|DateRange_Match,14382,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,A. H. Gentry,Name|ID|Country|Date|Team,67253,146893,f9acbd66-a9ca-492d-8446-ec6e57776370,"Vásquez, Roberto",R. Vásquez,Rob. Vásquez,Name|ID|Country|Date|Team,58881,126883,4087ff63-757f-4fd8-b313-3985d98e4828,"Jaramillo, Nestor",N. Jaramillo,,Name|ID|Country|Date|Team,,,,,,,,,,,,,,,14583,Peru,Loreto,,"Prov. Maynas, Yanamono, Explorama Tourist Camp, Río Amazonas halfway between Indiana and mouth of Río Napo. Transect 13",03 28 S,72 50 W,,,130.0,,Metres,Mature forest on yellowish lateritic soil,"Treelet 1"" dbh, sterile"
http://fm-digital-assets.fieldmuseum.org/616/397/V0162945F.jpg,V0162945F,616397,Albizia pedicellaris,287004,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,,,,C. Díaz,,,,O. Phillips,,,,D. Gorchov,,,,,63395A,2254967,08 Jul 1988,s.d.,08 July 1988,1988,Valid|DateRange_Match,14382,138245,4afd5cf7-72eb-4894-97e4-a174679d9ce9,"Gentry, Alwyn Howard",A. Gentry,A. H. Gentry,Name|ID|Country|Date|Team,19764,,,,C. Díaz,,Name|Country|Date|Team,60311,,,,O. Phillips,,Name|Country|Date|Team,,,,,D. Gorchov,,NoMatch,,,,,,,,14627,Peru,Pasco,,"Oxapampa Province; Shiringamazu, ca 20 km S of Iscozacin, Río Palcazu Valley. Transect No. 4",10 20 S,75 10 W,,,300.0,,Metres,Wet lowland forest on clay,"Tree 45 cm dbh, 30 m tall, fruits brown, bark reddish with small insculptious"
http://fm-digital-assets.fieldmuseum.org/791/150/V0165062F.jpg,V0165062F,791150,Acanthus mollis,567140,100392,3dcf86a1-aa98-4d01-ae69-006f48ff73fd,Fortunato Luciano Herrera,Fortunato L. Herrera,,,,,,,,,,,,,,,,,3045,630150,00 Nov 1930,s.d.,Noviembre de 1930,1930,Valid|DateRange_Match,30350,100392,3dcf86a1-aa98-4d01-ae69-006f48ff73fd,Fortunato Luciano Herrera,Fortunato L. Herrera,F. L. Herrera,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12054,Peru,Cuzco,,Reg: Huasao,,,,,3200.0,,Metres,,Cultivated?
http://fm-digital-assets.fieldmuseum.org/770/622/V0165347F.jpg,V0165347F,770622,Acacia loretensis,1598,124232,704cd9a7-30c2-4cb2-a525-7076970118de,"Simpson, Donald R.",Donald Simpson,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",J. Schunke V.,,,,,,,,,,,,,s.n.,1949786,03 Feb 1972,s.d.,3 Feb. 1972,1972,Valid|DateRange_Match,23026,124232,704cd9a7-30c2-4cb2-a525-7076970118de,"Simpson, Donald R.",Donald Simpson,,Name|ID|Country|Date|Team,47225,132033,6e1aaad1-37c1-4735-a9df-1de6b5c1ed1d,"Schunke Vigo, José",J. Schunke V.,,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,16188,Peru,Ucayali,,Carretera Tingo Maria a Pucallpa. Neshuya.,,,,,,,,,Tree
