Collector_irn,GUID,ASA_Botanist_ID,ASA_Botanist_ID_2,ASA_Botanist_ID_3,ASA_Botanist_ID_4,Source_of_Information,Geography_Collector,Geography_Author,Lifespan,HUH_Collections_in,date_range_FM,Standard_Label_Name,nam_NamFullName,nam_NamFirst,nam_NamMiddle,nam_NamLast,nam_NamBriefName,Variant_name_2,Variant_name_3,Variant_name_4,Variant_name_5,Variant_name_6,Variant_name_7,Variant_name_8,Variant_name_9,Variant_name_10,Variant_name_11,Variant_name,Taxanomic_names,Collector_Team
75775,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0b658642-945d-453f-9045-beb6fba6a9c3,119319,,,,"countries_combined.csv, HUH_Combined.csv, Botany_Parties_Author_names.xlsx","French Guiana, Grenada, Trinidad and Tobago, Venezuela",,1863 - 1935,1888 - 2008,1895-1922,W. E. Broadway,Walter E. Broadway,Walter,Elias,Broadway,W. E. Broadway,Walter Elias Broadway,,,,,,,,,,"Broadway, W. E.",Broadway,"W. E. Broadway & G. H. Sworder  W. E. Broadway & A. Hombersley  W. E. Broadway & D. W. Alexander  N. L. Britton, W. E. Broadway & T. E. Hazen  N. L. Britton & W. E. Broadway"
16330,,148949,162880,,,"countries_combined.csv, Botany_Parties_Author_names.xlsx",,,,,1847-1957,,August Fendler,August,,Fendler,A. Fendler,,,,,,,,,,,Augustus Fendler Fendler,Fendler,
34421,,100359,145109,,,"countries_combined.csv, Botany_Parties_Author_names.xlsx",,,,,1077,,Ghillean ('Iain') T. Prance,Ghillean ('Iain'),Tolmie,Prance,G. T. Prance,,,,,,,,,,,,Prance,
16795,,,,,,countries_combined.csv,,,,,,,B. Leobo,B.,,Leobo,B. Leobo,,,,,,,,,,,,,
38023,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c73d0119-32fc-4794-9cd1-b5212da34111,101402,128795,,,"countries_combined.csv, HUH_Combined.csv, Botany_Parties_Author_names.xlsx","Bahamas, Cuba, Dominican Republic, Ecuador, Venezuela, Virgin Islands (United States of America)",Denmark,1844 - 1903,1876 - 1931,1843-1897,H. F. A. Eggers,Henrik F. A. von Eggers,Henrik,Franz Alexander,von Eggers,H. F. A. von Eggers,,,,,,,,,,,Henrik Franz Alexander von Eggers,Eggers,
47875,,174975,,,,"countries_combined.csv, Botany_Parties_Author_names.xlsx",,,,,,,Julius B. von Rohr,Julius,Bernard,von Rohr,J. B. von Rohr,,,,,,,,,,,,J. B. Rohr,
5150,,101616,,,,"countries_combined.csv, Botany_Parties_Author_names.xlsx",,,,,1789-1844,,Franz W. Sieber,Franz,Wilhelm,Sieber,F. W. Sieber,,,,,,,,,,,,Sieber,
3774,,,,,,countries_combined.csv,,,,,1886,,Hart,,,Hart,Hart,,,,,,,,,,,,,
47119,,176759,131946,,,"countries_combined.csv, Botany_Parties_Author_names.xlsx",,,,,1955,,Joseph V. Monachino,Joseph,Vincent,Monachino,J. V. Monachino,,,,,,,,,,,,Monach.,
51933,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/55cdd312-e46c-446c-92a9-7fc44d3f6ce6,129491,,,,"countries_combined.csv, HUH_Combined.csv, Botany_Parties_Author_names.xlsx",,"Brazil, Peru, United States of America, Venezuela",1901 - 1984,1929 - 1962,1842-1942,L. Williams,Llewelyn W. Williams,Llewelyn,W.,Williams,Ll. Williams,,,,,,,,,,,Llewelyn Williams,Ll. Williams,"T. W. Henkel, M. Chin & L. WIlliams"
