Image_URL,Barcode,CountryName,MinimumDate,MaximumDate,collectorName1,verbatimCollector1,HUH_BotanistID_1,Top_Primary_tested_name,Top_Primary_master_name,Top_Primary_master_irn,Top_Primary_id_match,Top_Primary_name_match,Top_Primary_FM_Country_match,Top_Primary_FM_Date_match,Top_Primary_FM_Team_match,Top_Primary_HUH_Country_match,Top_Primary_HUH_Date_match,Top_Primary_HUH_Team_match,Top_Primary_score,collectorName2,verbatimCollector2,HUH_BotanistID_2,Top_Sec2_tested_name,Top_Sec2_master_name,Top_Sec2_master_irn,Top_Sec2_id_match,Top_Sec2_name_match,Top_Sec2_FM_Country_match,Top_Sec2_FM_Date_match,Top_Sec2_FM_Team_match,Top_Sec2_HUH_Country_match,Top_Sec2_HUH_Date_match,Top_Sec2_HUH_Team_match,Top_Sec2_score,collectorName3,verbatimCollector3,HUH_BotanistID_3,Top_Sec3_tested_name,Top_Sec3_master_name,Top_Sec3_master_irn,Top_Sec3_id_match,Top_Sec3_name_match,Top_Sec3_FM_Country_match,Top_Sec3_FM_Date_match,Top_Sec3_FM_Team_match,Top_Sec3_HUH_Country_match,Top_Sec3_HUH_Date_match,Top_Sec3_HUH_Team_match,Top_Sec3_score,collectorName4,verbatimCollector4,HUH_BotanistID_4,Top_Sec4_tested_name,Top_Sec4_master_name,Top_Sec4_master_irn,Top_Sec4_id_match,Top_Sec4_name_match,Top_Sec4_FM_Country_match,Top_Sec4_FM_Date_match,Top_Sec4_FM_Team_match,Top_Sec4_HUH_Country_match,Top_Sec4_HUH_Date_match,Top_Sec4_HUH_Team_match,Top_Sec4_score,collectorName5,verbatimCollector5,HUH_BotanistID_5,Top_Sec5_tested_name,Top_Sec5_master_name,Top_Sec5_master_irn,Top_Sec5_id_match,Top_Sec5_name_match,Top_Sec5_FM_Country_match,Top_Sec5_FM_Date_match,Top_Sec5_FM_Team_match,Top_Sec5_HUH_Country_match,Top_Sec5_HUH_Date_match,Top_Sec5_HUH_Team_match,Top_Sec5_score,verbatimCollector6,Unnamed: 0,Multimedia_IRN,Taxon,Taxon_IRN,Powo_Id,CollectorNumber,CatologueNumber,VerbatimCollectionDate,Ambiguous,Non_Ambiguous,Years,DateValidation,Locality_IRN,StateProvinceTerritory,Municipality,PreciseLocality,AltitudeMin,AltitudeMax,AltitudeUnits,VerbatimAltitude,LatitudeDMS,LongitudeDMS,Habitat,PlantDescription,HUH_UUID_1,HUH_UUID_2,HUH_UUID_3,HUH_UUID_4,HUH_UUID_5,verbatimCollector7,verbatimCollector8
http://fm-digital-assets.fieldmuseum.org/2817/971/V0616021F.jpg,V0616021F,Mexico,9 Jul 1939,14 Jul 1939,E. Matuda,E. Matuda,101715,E. Matuda (E. Matuda),E. Matuda (FM),27166,False|Unlisted_M,True,True|Mexico,True,False|No-co-collectors,True|Mexico,True|Both,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817971,Ficus americana,97325,,3724,1028102,JUL. 9-14.39,,JUL. 9-14.39,1939,In Range,4214,Chiapas,Palenque,"Sabana Palenque, Chiapas. ",,,,,,,In savanna.,"Tree 10m. high, 50 cm. diam. ",2ea3199c-1f49-418d-b289-d0e6472bd741,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/018/V0616022F.jpg,V0616022F,Mexico,16 Jul 1939,18 Jul 1939,E. Matuda,E. Matuda,101715,E. Matuda (E. Matuda),E. Matuda (FM),27166,False|Unlisted_M,True,True|Mexico,True,False|No-co-collectors,True|Mexico,True|Both,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818018,Ficus americana,97325,,3805,1028149,JUL. 16-18. 39,,JUL. 16-18. 39,1939,In Range,4214,Chiapas,Palenque,"Agvacate Palenque, Chiapas",,,,,,,In savanna,"Tree 15 m. high, 60 cm. diam.",2ea3199c-1f49-418d-b289-d0e6472bd741,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/130/V0616023F.jpg,V0616023F,Mexico,29 Feb 1972,,,J. I. Calzada,,J. I. Calzada (nan),Juan I. Calzada (HUH),47552,False|Unlisted,True,True|Mexico,True,False|No-co-collectors,False,False,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818130,Ficus americana,97325,,702,1819301,29-02-1972,,29-02-1972,1972,In Range,4361,Veracruz,,Playa Del Jicacal,,,,,,,"Cerca de la playa, suelo cafe arenoso, calido ","Arbol, 8m., escasa, fruto verde, uso no se le conocen. ",,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/983/V0616024F.jpg,V0616024F,Mexico,26 Feb 1973,,F. Menéndez L.,F. Menéndez L.,104482,F. Menéndez L. (F. Menéndez L.),F. Menéndez L. (HUH),29140,False|Unlisted_M,True,True|Mexico,True,False|No-co-collectors,False,False,False|No-co-collectors,Name|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817983,Ficus americana,97325,,99,1829992,26-02-1973,,26-02-1973,1973,In Range,4361,Veracruz,Catemaco,"Laguna de Sontecomapan, Transecto realizado entre el Estero del fraile y el Cacahuate",0.0,,Metres,,,,"Manglar, primaria, asoc. Rhyzophora mangle. ","Arbol, perenne, 3m., escasa. ",757b375f-49d6-4d0a-9b97-a29cc53f404f,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/072/V0616025F.jpg,V0616025F,Guatemala,17 May 1937,,"Muenscher, Walter Leopold Conrad",W. C. Muenscher,101830,"W. C. Muenscher (Muenscher, Walter Leopold Conrad)",Walter L. C. Muenscher (HUH),75807,True|101830,True,False,True,False|No-co-collectors,False,False,False|No-co-collectors,Name|ID|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818072,Ficus americana,97325,,12262,904348,"May 17, 1937",,"May 17, 1937",1937,In Range,1010,Izabal,,near the ruins of old Quirigua,,,,,,,,Small tree,66b8d48d-2a83-4110-8a8c-8b25b2fa457f,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/113/V0616026F.jpg,V0616026F,Guatemala,25 Apr 1939,6 May 1939,"Standley, Paul Carpenter",Paul C. Standley,100031,"Paul C. Standley (Standley, Paul Carpenter)",P. C. Standley (FM),62594,True|100031,True,False,True,False|No-co-collectors,True|Guatemala,True|Both,False|No-co-collectors,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818113,Ficus americana,97325,,72800,991366,"Apr. 25-May 6, 1939",,"Apr. 25-May 6, 1939",1939,In Range,1010,Izabal,Puerto Barrios,Near Puerto Barrios,0.0,,Metres,at sea level,,,Manicaria swamp,Small tree,2eda4d73-28d8-4744-aac4-4fc351d4256d,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/966/V0616027F.jpg,V0616027F,Guatemala,8 Sep 1960,,"Contreras, Elias",Elias Contreras,117988,"Elias Contreras (Contreras, Elias)",Elias Contreras (HUH),27287,True|117988,True,False,False,False|No-co-collectors,False,False,False|No-co-collectors,Name|ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817966,Ficus americana,97325,,1491,1631560,"Sept. 8, 1960",,"Sept. 8, 1960",1960,Out of Range,3620,Petén,,"Tikal National Park, Tikal. ",,,,,,,in ramonal covering the ruins.,"""Copo"" Tree, 18 in. diam., 70 ft. high, fruit greenish-red",6bd9909a-4119-400f-bea7-7a50ecadfaad,,,,,,
http://fm-digital-assets.fieldmuseum.org/2817/974/V0616028F.jpg,V0616028F,Guatemala,30 Apr 1942,,J. A. Steyermark,Julian A. Steyermark,101462,Julian A. Steyermark (J. A. Steyermark),J. A. Steyermark (FM),47737,True|101462,True,False,True,False|No-co-collectors,True|Guatemala,True|Both,False|No-co-collectors,Name|ID|Country|Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817974,Ficus americana,97325,,46135,114602,"April 30, 1942",,"April 30, 1942",1942,In Range,3620,Petén,,"Cerro Cibal (Sierra Mojada, Chorro Ceibal, or Cerro San Martin), between mouth of Rio Santa Monica and mouth of Rio San Martin, on left side of Rio Cancuen (west side of river going downstream)",75.0,150.0,Metres,,,,,"Small tree 25 ft. tall; leaves subcoriaceous, deep green and shining above, pale green beneath",38e7d52a-644a-4ca4-aff2-f3bb199e5eba,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/038/V0616029F.jpg,V0616029F,Guatemala,25 Sep 1970,,"Ortiz, Rolando Tún",Rolando Tún Ortiz,103553,"Rolando Tún Ortiz (Ortiz, Rolando Tún)",,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818038,Ficus americana,97325,,1342,1708514,"25 Sep. , 1970",,"25 Sep. , 1970",1970,Collector Not Found,3620,Petén,,"Alrededor la aldea Esperanza, lada norte, unos 200 m. detras de la escuela",,,,,,,En foresta baja,"Arbol 15m. alto, 60 cm. diametro, fruto verde, en foresta baja",ee3dab2a-fae0-4d3e-9064-940b8079c9bf,,,,,,
http://fm-digital-assets.fieldmuseum.org/2818/015/V0616030F.jpg,V0616030F,Guatemala,22 Dec 1970,,"Ortiz, Rolando Tún",Rolando Tún Ortiz,103553,"Rolando Tún Ortiz (Ortiz, Rolando Tún)",,,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,False|NoMatch,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2818015,Ficus americana,97325,,1518,1708515,"22 diciembre, 1970",,"22 diciembre, 1970",1970,Collector Not Found,3620,Petén,,"En orillando el camino para El Remate, a km. 65, Parque Nacional de Tikal. ",,,,,,,En foresta alta,"Arbusto 3m. alto, 20 cm. diametro, flores verdes",ee3dab2a-fae0-4d3e-9064-940b8079c9bf,,,,,,
